Character_ID,Date,Character_Name,Total,Unformatted Total
215240900,2009,Black Panther,214.66K,214662.0
215240901,2009,Cable,701.66K,701665.0
215240902,2009,Captain America,4.95M,4948275.0
215240903,2009,Daredevil,833.18K,833181.0
215240904,2009,Deadpool,2.70M,2702614.0
215240905,2009,Exodus,310.82K,310821.0
215240906,2009,Hulk,5.16M,5162349.0
215240907,2009,Iron Man,2.16M,2158049.0
215240908,2009,Spider-Man,12.28M,12278664.0
215240909,2009,Thor,2.14M,2143686.0
215240910,2009,Wolverine,6.15M,6152875.0
215240911,2009,X-Men,9.66M,9657785.0
215240912,2009,Avengers,15.31M,15308583.0
215240913,2009,Logan,477.04K,477044.0
215240914,2009,Fantastic Four,1.66M,1664983.0
215240915,2009,Punisher,196.31K,196308.0
