Character_ID,Date,Character_Name,Total
380800,2008,Beast,93453.78
380801,2008,Black Panther,712439.8900000001
380802,2008,Cable,1868897.1700000002
380803,2008,Captain America,4146229.4200000004
380804,2008,Colossus,106736.49
380805,2008,Daredevil,1634773.8500000003
380806,2008,Deadpool,1133421.23
380807,2008,Hulk,6939238.900000001
380808,2008,Iron Man,4680477.530000001
380809,2008,Jean Grey,114098.04000000001
380810,2008,Magneto,434582.82000000007
380811,2008,Onslaught,116762.49
380812,2008,Pixie,63600.600000000006
380813,2008,Skrulls,264566.28
380814,2008,Spider-Man,13913919.09
380815,2008,Thor,3265461.36
380816,2008,Wolverine,5938929.990000001
380817,2008,X-Men,16403491.690000001
380818,2008,Avengers,13067211.93
380819,2008,Ghost Rider,1263462.92
380820,2008,Venom,465226.06000000006
380821,2008,Inhumans,556935.34
380822,2008,Guardians of the Galaxy,220638.08000000002
380823,2008,Logan,694196.16
380824,2008,Fantastic Four,4413787.94
380825,2008,Punisher,3102677.97
