Character_ID,Date,Character_Name,Total
381700,2017,Black Panther,1078600.74
381701,2017,Cable,927571.2599999999
381702,2017,Captain America,2635465.5399999996
381703,2017,Daredevil,1242126.9000000001
381704,2017,Deadpool,7379735.57
381705,2017,Doctor Strange,1645291.0400000005
381706,2017,Falcon,219158.73
381707,2017,Hulk,1407866.5799999998
381708,2017,Iceman,285656.07000000007
381709,2017,Iron Man,2287321.92
381710,2017,Jean Grey,1580209.13
381711,2017,Luke Cage,297845.52
381712,2017,Rogue,674443.1
381713,2017,Spider-Man,12131673.100000003
381714,2017,Storm,245792.43000000002
381715,2017,Thanos,713910.75
381716,2017,Thor,3540756.87
381717,2017,Wasp,156140.67
381718,2017,Wolverine,2229310.9500000007
381719,2017,X-Men,10906099.49
381720,2017,Avengers,3591415.0300000003
381721,2017,Venom,5581324.449999998
381722,2017,Inhumans,510192.23000000004
381723,2017,Guardians of the Galaxy,2285701.78
381724,2017,Logan,3578826.5100000002
381725,2017,Punisher,1464258.18
