Character_ID,Date,Character_Name,Total
382000,2020,Cable,260193.57
382001,2020,Captain America,462522.24
382002,2020,Daredevil,460705.35000000003
382003,2020,Deadpool,500530.9
382004,2020,Doctor Strange,301514.11000000004
382005,2020,Emma Frost,322853.0
382006,2020,Falcon,167731.62
382007,2020,Hellion,278302.28
382008,2020,Hulk,1368502.69
382009,2020,Iron Man,551005.78
382010,2020,Jean Grey,322853.0
382011,2020,Marauders,817315.5900000001
382012,2020,Nightcrawler,233836.39
382013,2020,Spider-Man,2358241.6200000006
382014,2020,Thor,1543518.58
382015,2020,Wolverine,1865733.31
382016,2020,X-Men,3281841.0000000005
382017,2020,Avengers,1359721.8599999999
382018,2020,Ghost Rider,632995.66
382019,2020,Venom,936476.49
382020,2020,Guardians of the Galaxy,671578.04
382021,2020,Fantastic Four,1065964.2000000002
382022,2020,Punisher,308750.19000000006
