Character_ID,Date,Character_Name,Total
381900,2019,Apocalypse,114377.34000000001
381901,2019,Black Panther,269301.06
381902,2019,Black Widow,292335.33
381903,2019,Captain America,1804699.9900000002
381904,2019,Daredevil,2345747.2
381905,2019,Deadpool,2310011.14
381906,2019,Doctor Strange,980378.8
381907,2019,Domino,153036.45
381908,2019,Exodus,125385.75
381909,2019,Hulk,6475769.48
381910,2019,Iron Man,1587018.5100000002
381911,2019,Loki,211426.11000000002
381912,2019,Marauders,1045462.87
381913,2019,Nightcrawler,129874.5
381914,2019,Spider-Man,19773579.359999996
381915,2019,Thanos,1014539.2700000001
381916,2019,Thor,2312026.5900000003
381917,2019,Vision,813238.39
381918,2019,Wolverine,1869270.1500000001
381919,2019,X-23,313195.05000000005
381920,2019,X-Men,6825621.369999999
381921,2019,Avengers,7439616.56
381922,2019,Ghost Rider,1818115.6700000002
381923,2019,Venom,4907493.330000001
381924,2019,Guardians of the Galaxy,2699146.440000001
381925,2019,Logan,993282.57
381926,2019,Fantastic Four,2903636.15
381927,2019,Punisher,587464.59
