Character_ID,Date,Character_Name,Total,Unformatted Total
215241400,2014,Black Widow,621.08K,621079.41
215241401,2014,Captain America,3.02M,3024614.5900000003
215241402,2014,Daredevil,2.40M,2401757.99
215241403,2014,Deadpool,8.83M,8830267.370000001
215241404,2014,Hulk,2.51M,2508208.06
215241405,2014,Iron Man,1.58M,1578954.72
215241406,2014,Iron Patriot,131.85K,131845.56
215241407,2014,Loki,326.47K,326466.14
215241408,2014,Magneto,1.72M,1719091.5
215241409,2014,Nightcrawler,482.60K,482598.48000000004
215241410,2014,Spider-Man,17.24M,17241892.25
215241411,2014,Storm,195.04K,195043.17
215241412,2014,Thanos,917.14K,917137.5800000002
215241413,2014,Thor,2.84M,2839549.2300000004
215241414,2014,Wolverine,10.51M,10505376.620000001
215241415,2014,X-Men,17.18M,17179591.6
215241416,2014,Avengers,14.56M,14556380.730000002
215241417,2014,Ghost Rider,460.92K,460920.81000000006
215241418,2014,Guardians of the Galaxy,164.40K,164399.97
215241419,2014,Logan,1.51M,1513813.67
215241420,2014,Fantastic Four,1.26M,1261832.6500000001
215241421,2014,Punisher,507.22K,507220.77
