Units,Comic-book Title,Issue,Price,Publisher,Est. units
292,Spider-Man Deadpool,4,$3.99,Marvel,"64,931"
295,Spider-Man Deadpool,6,$3.99,Marvel,"64,630"
297,Deadpool,10,$3.99,Marvel,"64,509"
300,Avengers,2,$3.99,Marvel,"64,289"
306,Old Man Logan,2,$3.99,Marvel,"63,932"
307,Spider-Man Deadpool,5,$3.99,Marvel,"63,821"
310,Amazing Spider-Man,22,$3.99,Marvel,"63,359"
311,Guardians of the Galaxy,15,$3.99,Marvel,"63,338"
312,Deadpool,14,$3.99,Marvel,"63,334"
313,Invincible Iron Man,6,$3.99,Marvel,"63,234"
315,Amazing Spider-Man,21,$3.99,Marvel,"63,052"
316,Star Wars Han Solo,4,$3.99,Marvel,"63,030"
318,Deadpool,11,$3.99,Marvel,"62,900"
319,Civil War II Choosing Sides,1,$4.99,Marvel,"62,876"
321,Extraordinary X-Men,8,$4.99,Marvel,"62,576"
322,Black Widow,1,$3.99,Marvel,"62,375"
324,Accused,1,$4.99,Marvel,"62,363"
325,Spider-Man Deadpool,7,$3.99,Marvel,"62,060"
328,Star Wars Doctor Aphra,2,$3.99,Marvel,"61,417"
330,Spider-Gwen,7,$3.99,Marvel,"60,900"
331,Star Wars Poe Dameron,3,$3.99,Marvel,"60,889"
332,Black Panther,7,$3.99,Marvel,"60,857"
336,Spider-Man,2,$3.99,Marvel,"60,627"
338,Mighty Thor,3,$3.99,Marvel,"60,345"
340,Spider-Man,3,$3.99,Marvel,"59,789"
342,Deadpool,5,$3.99,Marvel,"59,645"
343,Star Wars Annual,2,$4.99,Marvel,"59,490"
345,Death of X,2,$3.99,Marvel,"59,427"
347,Rocket Raccoon,1,$3.99,Marvel,"59,305"
348,Old Man Logan,4,$3.99,Marvel,"59,174"
350,Rocket Raccoon and Groot,1,$3.99,Marvel,"59,028"
351,Deadpool,18,$3.99,Marvel,"59,027"
352,Deadpool,6,$3.99,Marvel,"59,006"
354,Clone Conspiracy,2,$3.99,Marvel,"58,921"
355,Old Man Logan,5,$3.99,Marvel,"58,870"
356,Old Man Logan,3,$3.99,Marvel,"58,855"
358,X-Men 92,1,$3.99,Marvel,"58,804"
359,Star Wars Han Solo,5,$3.99,Marvel,"58,762"
360,Black Panther,6,$3.99,Marvel,"58,746"
363,Obi-Wan and Anakin,2,$3.99,Marvel,"58,431"
365,Nova,1,$3.99,Marvel,"58,393"
366,True Believers Deadpool,1,$1.00,Marvel,"58,383"
370,Invincible Iron Man,7,$3.99,Marvel,"57,972"
371,Ghost Rider,1,$4.99,Marvel,"57,843"
372,Deadpool,12,$3.99,Marvel,"57,805"
373,Deadpool,9,$3.99,Marvel,"57,798"
374,Star Wars Poe Dameron,4,$3.99,Marvel,"57,712"
375,Deadpool,17,$3.99,Marvel,"57,681"
376,Silver Surfer,1,$3.99,Marvel,"57,633"
377,All New All Different Avengers,3,$3.99,Marvel,"57,584"
378,Avengers Standoff Welcome Pleasant Hill,1,$4.99,Marvel,"57,559"
379,Uncanny X-Men,6,$4.99,Marvel,"57,434"
380,All New All Different Avengers,4,$3.99,Marvel,"57,114"
381,Black Panther World of Wakanda,1,$4.99,Marvel,"57,073"
384,Amazing Spider-Man,1.2,$3.99,Marvel,"56,674"
385,Mighty Thor,4,$3.99,Marvel,"56,568"
387,Clone Conspiracy,3,$3.99,Marvel,"56,117"
389,Empress,1,$3.99,Marvel,"55,829"
390,Uncanny X-Men,2,$3.99,Marvel,"55,804"
392,Deadpool Last Days of Magic,1,$4.99,Marvel,"55,679"
395,Deadpool,16,$3.99,Marvel,"55,577"
399,Old Man Logan,8,$3.99,Marvel,"55,311"
401,Captain America Sam Wilson,7,$5.99,Marvel,"54,881"
404,Thanos,1,$3.99,Marvel,"54,768"
406,Mighty Thor,5,$3.99,Marvel,"54,568"
408,Doctor Strange,11,$3.99,Marvel,"53,718"
409,Obi-Wan and Anakin,3,$3.99,Marvel,"53,636"
410,Death of X,3,$3.99,Marvel,"53,583"
412,Mighty Captain Marvel,0,$3.99,Marvel,"53,263"
414,Captain Marvel,1,$3.99,Marvel,"52,972"
415,Star-Lord,1,$3.99,Marvel,"52,925"
418,Old Man Logan,6,$3.99,Marvel,"52,761"
419,Spider-Man,6,$3.99,Marvel,"52,731"
421,All New All Different Avengers,7,$3.99,Marvel,"52,631"
422,Star Wars Poe Dameron,5,$3.99,Marvel,"52,581"
423,Mighty Thor,6,$3.99,Marvel,"52,538"
425,Spider-Man Deadpool,10,$3.99,Marvel,"52,468"
426,Civil War II Amazing Spider-Man,2,$3.99,Marvel,"52,458"
427,Doctor Strange,6,$4.99,Marvel,"52,440"
428,Doctor Strange,4,$3.99,Marvel,"52,388"
430,Deadpool Mercs For Money,2,$3.99,Marvel,"52,331"
431,All New All Different Avengers,9,$3.99,Marvel,"52,296"
433,Amazing Spider-Man Annual,1,$4.99,Marvel,"52,184"
434,Old Man Logan,10,$3.99,Marvel,"52,175"
436,Old Man Logan,7,$3.99,Marvel,"51,926"
437,All New All Different Avengers,8,$3.99,Marvel,"51,925"
438,All New All Different Avengers,5,$3.99,Marvel,"51,740"
439,Deadpool Annual,1,$4.99,Marvel,"51,609"
440,All New X-Men,9,$4.99,Marvel,"51,549"
443,Deadpool,21,$9.99,Marvel,"51,351"
444,Extraordinary X-Men,9,$3.99,Marvel,"51,322"
445,Mighty Thor,8,$3.99,Marvel,"51,300"
446,Spider-Man Deadpool,11,$3.99,Marvel,"51,278"
448,Uncanny X-Men,7,$3.99,Marvel,"50,936"
451,Unworthy Thor,2,$3.99,Marvel,"50,584"
452,Invincible Iron Man,12,$3.99,Marvel,"50,571"
453,All New X-Men,3,$3.99,Marvel,"50,557"
454,Captain America Steve Rogers,5,$3.99,Marvel,"50,536"
455,Obi-Wan and Anakin,4,$3.99,Marvel,"50,486"
458,Uncanny X-Men,3,$3.99,Marvel,"50,382"
459,Death of X,4,$3.99,Marvel,"50,329"
460,Star Wars Poe Dameron,6,$3.99,Marvel,"50,275"
462,Spider-Women Alpha,1,$4.99,Marvel,"50,220"
463,All New X-Men,4,$3.99,Marvel,"50,160"
464,Doctor Strange,10,$3.99,Marvel,"50,083"
466,Extraordinary X-Men,10,$3.99,Marvel,"50,015"
468,All New Wolverine,4,$3.99,Marvel,"49,978"
473,Deadpool Vs Gambit,2,$3.99,Marvel,"49,815"
474,Old Man Logan,9,$3.99,Marvel,"49,804"
476,Champions,2,$3.99,Marvel,"49,733"
477,Spider-Gwen,8,$3.99,Marvel,"49,681"
478,Doctor Strange,7,$3.99,Marvel,"49,590"
479,Captain America Steve Rogers,4,$4.99,Marvel,"49,559"
480,Invincible Iron Man,11,$3.99,Marvel,"49,439"
483,Doctor Strange,8,$3.99,Marvel,"49,427"
484,Star Wars Force Awakens Adaptation,2,$3.99,Marvel,"49,423"
486,Invincible Iron Man,9,$3.99,Marvel,"49,334"
487,Invincible Iron Man,5,$3.99,Marvel,"49,225"
488,Spider-Man,4,$3.99,Marvel,"49,167"
490,Invincible Iron Man,10,$3.99,Marvel,"49,141"
491,Captain America Steve Rogers,6,$3.99,Marvel,"49,111"
492,Avengers Standoff Assault On Pleasant Hill Omega,1,$4.99,Marvel,"49,012"
497,Daredevil,6,$3.99,Marvel,"48,745"
498,Mighty Thor,9,$3.99,Marvel,"48,712"
499,Spider-Gwen,4,$3.99,Marvel,"48,664"
501,Extraordinary X-Men,12,$3.99,Marvel,"48,609"
502,Captain America Steve Rogers,7,$3.99,Marvel,"48,505"
503,Obi-Wan and Anakin,5,$3.99,Marvel,"48,430"
504,Invincible Iron Man,13,$3.99,Marvel,"48,394"
506,Guardians of Galaxy,6,$3.99,Marvel,"48,330"
507,Civil War II Kingpin,1,$4.99,Marvel,"48,289"
510,Uncanny X-Men,10,$3.99,Marvel,"48,025"
511,All New All Different Avengers,6,$3.99,Marvel,"48,022"
512,Deadpool,19,$3.99,Marvel,"47,948"
513,Doctor Strange,5,$3.99,Marvel,"47,933"
514,Amazing Spider-Man,1.3,$3.99,Marvel,"47,892"
515,Star Wars Poe Dameron,7,$4.99,Marvel,"47,878"
519,Spider-Man,7,$3.99,Marvel,"47,678"
520,Extraordinary X-Men,6,$3.99,Marvel,"47,572"
521,Punisher,2,$3.99,Marvel,"47,524"
522,Champions,3,$3.99,Marvel,"47,481"
523,Mighty Thor,7,$3.99,Marvel,"47,425"
524,Extraordinary X-Men,5,$3.99,Marvel,"47,404"
525,Old Man Logan,11,$3.99,Marvel,"47,248"
526,Extraordinary X-Men,7,$3.99,Marvel,"47,219"
527,Deadpool Mercs For Money,3,$3.99,Marvel,"47,185"
528,Uncanny Avengers,4,$3.99,Marvel,"47,172"
529,Uncanny Avengers,7,$3.99,Marvel,"47,135"
530,Spider-Man,5,$3.99,Marvel,"47,025"
536,Punisher,3,$3.99,Marvel,"46,534"
537,Invincible Iron Man,8,$3.99,Marvel,"46,520"
538,Mighty Thor,11,$3.99,Marvel,"46,434"
539,All New All Different Avengers,12,$3.99,Marvel,"46,313"
541,Doctor Strange,9,$3.99,Marvel,"46,306"
542,All New All Different Avengers,13,$3.99,Marvel,"46,257"
543,Guardians of Galaxy,4,$3.99,Marvel,"46,215"
544,Deadpool,20,$3.99,Marvel,"46,109"
545,Uncanny X-Men,4,$3.99,Marvel,"46,105"
546,Spider-Gwen,6,$3.99,Marvel,"46,060"
547,All New All Different Avengers Annual,1,$4.99,Marvel,"45,992"
548,Mighty Thor,10,$3.99,Marvel,"45,929"
549,Uncanny X-Men,5,$3.99,Marvel,"45,887"
550,Daredevil,3,$3.99,Marvel,"45,885"
553,Uncanny Avengers,8,$3.99,Marvel,"45,659"
554,Extraordinary X-Men,11,$3.99,Marvel,"45,532"
555,All New All Different Avengers,14,$3.99,Marvel,"45,509"
557,Uncanny Avengers,11,$3.99,Marvel,"45,452"
559,Uncanny X-Men,8,$3.99,Marvel,"45,409"
560,Old Man Logan,12,$3.99,Marvel,"45,384"
563,Thunderbolts,1,$3.99,Marvel,"45,169"
565,Extraordinary X-Men,13,$3.99,Marvel,"45,037"
567,Black Panther World of Wakanda,2,$3.99,Marvel,"45,009"
569,All New All Different Avengers,10,$3.99,Marvel,"44,965"
570,Civil War II X-Men,2,$3.99,Marvel,"44,960"
572,Daredevil,5,$3.99,Marvel,"44,868"
573,Doctor Strange Annual,1,$4.99,Marvel,"44,778"
574,Spider-Man,8,$3.99,Marvel,"44,745"
577,All New Wolverine,6,$3.99,Marvel,"44,668"
579,Uncanny X-Men,9,$3.99,Marvel,"44,617"
581,Civil War II Amazing Spider-Man,3,$3.99,Marvel,"44,471"
582,Mosaic,1,$4.99,Marvel,"44,354"
583,Cage,1,$3.99,Marvel,"44,178"
584,Amazing Spider-Man,1.4,$3.99,Marvel,"44,160"
585,Punisher,4,$3.99,Marvel,"44,154"
587,Deadpool Back In Black,2,$3.99,Marvel,"44,047"
590,Spider-Man Deadpool,12,$3.99,Marvel,"43,937"
591,Invincible Iron Man,14,$3.99,Marvel,"43,888"
593,Spider-Gwen,5,$3.99,Marvel,"43,796"
594,Civil War II Choosing Sides,5,$3.99,Marvel,"43,768"
595,Spider-Gwen Annual,1,$4.99,Marvel,"43,766"
596,Daredevil,4,$3.99,Marvel,"43,741"
597,Daredevil,7,$3.99,Marvel,"43,704"
599,Uncanny Avengers,5,$3.99,Marvel,"43,618"
600,Old Man Logan,13,$3.99,Marvel,"43,609"
601,All New Wolverine,9,$3.99,Marvel,"43,545"
603,Black Panther,8,$3.99,Marvel,"43,451"
606,All New Wolverine,5,$3.99,Marvel,"43,149"
607,Amazing Spider-Man Renew Your Vows,2,$3.99,Marvel,"43,128"
608,Deadpool Mercs For Money,4,$3.99,Marvel,"43,104"
609,Star Wars Poe Dameron,8,$3.99,Marvel,"43,034"
610,Silk,7,$3.99,Marvel,"43,012"
611,Daredevil,9,$3.99,Marvel,"43,009"
612,All New X-Men,11,$3.99,Marvel,"42,883"
613,All New All Different Avengers,11,$3.99,Marvel,"42,788"
614,Uncanny X-Men,11,$3.99,Marvel,"42,779"
615,Uncanny X-Men,12,$3.99,Marvel,"42,748"
617,Old Man Logan,14,$3.99,Marvel,"42,574"
618,Deadpool Vs Gambit,3,$3.99,Marvel,"42,561"
620,All New X-Men,5,$3.99,Marvel,"42,402"
621,Mockingbird,1,$3.99,Marvel,"42,335"
623,Old Man Logan,15,$3.99,Marvel,"42,216"
624,Daredevil Punisher,1,$4.99,Marvel,"42,145"
626,Amazing Spider-Man,1.5,$3.99,Marvel,"41,907"
627,Civil War II Amazing Spider-Man,4,$3.99,Marvel,"41,899"
628,Moon Knight,6,$3.99,Marvel,"41,884"
631,Spider-Gwen,9,$3.99,Marvel,"41,713"
633,Star Wars Force Awakens Adaptation,3,$3.99,Marvel,"41,575"
634,Uncanny Avengers,6,$3.99,Marvel,"41,567"
638,Doctor Strange,13,$3.99,Marvel,"41,290"
639,Avengers,1.1,$3.99,Marvel,"41,258"
641,Daredevil,8,$3.99,Marvel,"41,172"
642,Moon Knight,2,$3.99,Marvel,"41,147"
643,Power Man and Iron Fist,2,$3.99,Marvel,"41,104"
645,All New X-Men,6,$3.99,Marvel,"41,061"
649,Daredevil,10,$3.99,Marvel,"40,775"
650,Moon Knight,3,$3.99,Marvel,"40,752"
653,Guardians of Galaxy,5,$3.99,Marvel,"40,581"
654,Infamous Iron Man,3,$3.99,Marvel,"40,546"
655,International Iron Man,2,$3.99,Marvel,"40,459"
656,All New X-Men,7,$3.99,Marvel,"40,346"
657,Mighty Thor,12,$3.99,Marvel,"40,326"
658,All New Wolverine,11,$3.99,Marvel,"40,312"
659,Great Lakes Avengers,1,$3.99,Marvel,"40,300"
660,Infamous Iron Man,2,$3.99,Marvel,"40,225"
661,Guardians of Galaxy,7,$3.99,Marvel,"40,213"
664,Uncanny Avengers,9,$3.99,Marvel,"40,025"
666,Moon Knight,4,$3.99,Marvel,"40,012"
667,Spider-Man,10,$3.99,Marvel,"40,006"
668,All New X-Men,10,$3.99,Marvel,"39,978"
669,All New X-Men,8,$3.99,Marvel,"39,942"
670,Uncanny X-Men,13,$3.99,Marvel,"39,825"
673,Spider-Man,9,$3.99,Marvel,"39,701"
674,Civil War II Gods of War,1,$3.99,Marvel,"39,690"
676,Daredevil Annual,1,$4.99,Marvel,"39,635"
677,Amazing Spider-Man,1.6,$3.99,Marvel,"39,624"
678,Doctor Strange,15,$3.99,Marvel,"39,549"
679,Deadpool Back In Black,3,$3.99,Marvel,"39,509"
