Units,Comic-book Title,Issue,Price,Publisher,Est. units
884,Uncanny Inhumans,6,$3.99,Marvel,"32,256"
889,Punisher Annual,1,$4.99,Marvel,"32,001"
890,Captain America Sam Wilson,10,$3.99,Marvel,"31,989"
892,Ms Marvel,5,$3.99,Marvel,"31,871"
893,Ms Marvel,8,$3.99,Marvel,"31,798"
894,All New Wolverine,15,$3.99,Marvel,"31,796"
895,Mosaic,2,$3.99,Marvel,"31,767"
898,Carnage,4,$3.99,Marvel,"31,687"
899,Hyperion,1,$3.99,Marvel,"31,679"
900,Mosaic,3,$3.99,Marvel,"31,671"
901,All New X-Men,15,$3.99,Marvel,"31,668"
904,Civil War II Choosing Sides,4,$3.99,Marvel,"31,464"
905,Uncanny Inhumans,12,$3.99,Marvel,"31,357"
908,New Avengers,8,$3.99,Marvel,"31,311"
909,Doctor Strange Punisher Magic Bullets,1,$4.99,Marvel,"31,307"
911,Spider-Women Omega,1,$4.99,Marvel,"31,260"
913,New Avengers,6,$3.99,Marvel,"31,188"
914,Doctor Strange Mystic Apprentice,1,$3.99,Marvel,"31,185"
915,Totally Awesome Hulk,5,$3.99,Marvel,"31,165"
916,Captain America Sam Wilson,8,$3.99,Marvel,"31,052"
918,Uncanny Avengers,17,$3.99,Marvel,"31,025"
919,Black Widow,3,$3.99,Marvel,"30,968"
920,Ms Marvel,4,$3.99,Marvel,"30,916"
921,Silk,8,$3.99,Marvel,"30,884"
922,New Avengers,9,$3.99,Marvel,"30,835"
923,Totally Awesome Hulk,7,$3.99,Marvel,"30,808"
924,Amazing Spider-Man and Silk Spiderfly Effect,1,$4.99,Marvel,"30,806"
925,Daredevil,14,$3.99,Marvel,"30,781"
927,Ultimates,8,$3.99,Marvel,"30,675"
928,New Avengers,7,$3.99,Marvel,"30,662"
930,Solo,1,$3.99,Marvel,"30,589"
931,Marvel Tsum Tsum,1,$3.99,Marvel,"30,515"
932,Captain America Sam Wilson,12,$3.99,Marvel,"30,479"
936,Gwenpool,5,$3.99,Marvel,"30,232"
939,X-Men '92,3,$3.99,Marvel,"30,112"
940,New Avengers,10,$3.99,Marvel,"30,102"
941,Deadpool and Mercs For Money,3,$3.99,Marvel,"30,078"
943,Ultimates,3,$3.99,Marvel,"30,068"
944,Uncanny Avengers,18,$3.99,Marvel,"30,062"
946,Deadpool and Mercs For Money,4,$3.99,Marvel,"29,881"
947,Ms Marvel,6,$3.99,Marvel,"29,863"
948,Guardians of Galaxy,13,$3.99,Marvel,"29,845"
949,Ms Marvel,7,$3.99,Marvel,"29,840"
952,A-Force,5,$3.99,Marvel,"29,706"
953,All New X-Men,16,$3.99,Marvel,"29,701"
955,All New X-Men Annual,1,$4.99,Marvel,"29,634"
957,Infinity Entity,2,$3.99,Marvel,"29,610"
958,Vote Loki,1,$3.99,Marvel,"29,502"
960,Ms Marvel,10,$3.99,Marvel,"29,395"
961,Doctor Strange Sorcerers Supreme,2,$3.99,Marvel,"29,349"
962,Spider-Gwen,13,$3.99,Marvel,"29,346"
964,Great Lakes Avengers,2,$3.99,Marvel,"29,273"
965,Daredevil Punisher,4,$4.99,Marvel,"29,225"
966,Moon Knight,9,$3.99,Marvel,"29,205"
967,Rocket Raccoon and Groot,2,$3.99,Marvel,"29,180"
968,New Avengers,11,$3.99,Marvel,"29,163"
969,Captain America Sam Wilson,11,$3.99,Marvel,"29,145"
972,Captain America Sam Wilson,5,$3.99,Marvel,"29,081"
974,International Iron Man,4,$3.99,Marvel,"28,998"
976,Howard the Duck,3,$4.99,Marvel,"28,971"
977,Captain Marvel,2,$3.99,Marvel,"28,962"
978,Spider-Gwen,14,$3.99,Marvel,"28,906"
980,Carnage,6,$3.99,Marvel,"28,874"
985,Civil War II Kingpin,2,$3.99,Marvel,"28,720"
986,Ultimates,5,$3.99,Marvel,"28,627"
987,New Avengers,14,$3.99,Marvel,"28,603"
988,Spider-Man 2099,8,$3.99,Marvel,"28,580"
990,Uncanny Inhumans,8,$3.99,Marvel,"28,527"
992,Spider-Man 2099,5,$3.99,Marvel,"28,489"
993,Captain Marvel,3,$3.99,Marvel,"28,469"
995,Guardians of the Galaxy,14,$3.99,Marvel,"28,405"
997,Ms Marvel,12,$4.99,Marvel,"28,348"
998,International Iron Man,6,$3.99,Marvel,"28,337"
999,Ms Marvel,9,$3.99,Marvel,"28,313"
