Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Marvel Legacy,1,$5.99,Marvel,"305,427"
3,4,Peter Parker Spectacular Spider-Man,1,$4.99,Marvel,"233,636"
4,21,Secret Empire,0,$4.99,Marvel,"172,486"
5,10,Secret Empire,1,$4.99,Marvel,"161,905"
10,5,Phoenix Resurrection Return Jean Grey,1,$4.99,Marvel,"145,057"
12,9,Venom,150,$5.99,Marvel,"138,636"
18,23,X-Men Gold,1,$4.99,Marvel,"125,602"
19,12,Astonishing X-Men,1,$4.99,Marvel,"125,101"
20,7,Mighty Thor,700,$5.99,Marvel,"124,686"
21,20,Star Wars Darth Vader,1,$4.99,Marvel,"122,081"
24,29,Amazing Spider-Man,789,$3.99,Marvel,"114,328"
25,24,Star Wars Darth Maul,1,$4.99,Marvel,"114,159"
26,3,Amazing Spider-Man,25,$9.99,Marvel,"112,873"
27,49,U.S. Avengers,1,$3.99,Marvel,"112,305"
28,26,X-Men Blue,1,$4.99,Marvel,"111,650"
34,22,Venomverse,1,$4.99,Marvel,"107,614"
36,31,Secret Empire,2,$4.99,Marvel,"105,417"
40,68,Guardians of the Galaxy Mission Breakout,1,$4.99,Marvel,"104,283"
45,33,Edge of Venomverse,1,$3.99,Marvel,"101,684"
50,32,X-Men Prime,1,$4.99,Marvel,"99,451"
64,54,Secret Empire,3,$3.99,Marvel,"96,624"
66,44,Despicable Deadpool,287,$3.99,Marvel,"95,724"
67,56,Secret Empire,5,$3.99,Marvel,"94,507"
69,59,Secret Empire,4,$3.99,Marvel,"93,795"
72,63,Monsters Unleashed,1,$4.99,Marvel,"93,247"
74,34,Secret Empire,10,$4.99,Marvel,"92,684"
76,47,Iron Fist,1,$3.99,Marvel,"92,490"
79,41,Generations Wolverine & All-New Wolverine,1,$4.99,Marvel,"90,233"
80,60,Captain America,695,$3.99,Marvel,"88,749"
81,38,Secret Empire,6,$4.99,Marvel,"87,710"
88,72,Secret Empire,7,$3.99,Marvel,"83,275"
89,135,All New Guardians of the Galaxy,1,$3.99,Marvel,"83,146"
90,70,X-Men Gold,13,$3.99,Marvel,"82,834"
91,43,Secret Empire,8,$4.99,Marvel,"82,485"
92,53,Generations Unworthy Thor & Mighty Thor,1,$4.99,Marvel,"81,378"
93,77,Venom,155,$3.99,Marvel,"78,866"
94,52,Secret Empire,9,$4.99,Marvel,"78,237"
98,88,Star Wars,33,$3.99,Marvel,"76,223"
99,82,Spider-Men II,1,$3.99,Marvel,"75,062"
100,75,Deadpool Kills Marvel Universe Again,1,$3.99,Marvel,"74,746"
101,127,Amazing Spider-Man,23,$3.99,Marvel,"74,708"
102,78,Cable,150,$3.99,Marvel,"74,618"
104,100,Star Wars,28,$3.99,Marvel,"74,340"
106,81,Spider-Gwen,25,$3.99,Marvel,"74,316"
108,101,Star Wars,27,$3.99,Marvel,"74,219"
111,85,Star Wars,38,$3.99,Marvel,"74,093"
117,120,Journey Sw Last Jedi Capt Phasma,1,$3.99,Marvel,"72,304"
120,117,Weapon X,1,$3.99,Marvel,"72,114"
121,121,Star Wars,29,$3.99,Marvel,"72,040"
123,110,X-Men Blue,13,$3.99,Marvel,"71,758"
124,130,Star Wars Darth Vader,2,$3.99,Marvel,"71,719"
127,97,Jean Grey,1,$3.99,Marvel,"71,589"
128,114,Avengers,672,$3.99,Marvel,"71,361"
129,126,Star Wars,31,$3.99,Marvel,"71,325"
130,115,Invincible Iron Man,593,$3.99,Marvel,"71,099"
132,129,Star Wars,30,$3.99,Marvel,"70,329"
133,134,Star Wars,32,$3.99,Marvel,"70,172"
134,118,Incredible Hulk,709,$3.99,Marvel,"70,003"
136,66,Star Wars Screaming Citadel,1,$4.99,Marvel,"69,746"
137,65,Amazing Spider-Man Venom Inc Alpha,1,$4.99,Marvel,"69,600"
138,557,IVX,1,$5.99,Marvel,"69,199"
142,84,Defenders,1,$4.99,Marvel,"67,201"
143,174,X-Men Gold,2,$3.99,Marvel,"67,200"
144,93,Venom,6,$3.99,Marvel,"66,956"
145,143,Star Wars,34,$3.99,Marvel,"66,790"
146,142,Marvel Two-In-One,1,$3.99,Marvel,"66,706"
149,144,Star Wars,35,$3.99,Marvel,"66,267"
150,73,Star Wars,37,$4.99,Marvel,"65,823"
152,86,Star Wars Rogue One Adaptation,1,$4.99,Marvel,"65,307"
153,178,IVX,2,$3.99,Marvel,"65,130"
154,148,Star Wars,36,$3.99,Marvel,"65,120"
157,157,Star Wars Darth Maul,2,$3.99,Marvel,"64,906"
161,145,Punisher,218,$3.99,Marvel,"64,058"
162,159,Star Wars Darth Vader,3,$3.99,Marvel,"63,881"
165,155,Star Wars Jedi Republic Mace Windu,1,$3.99,Marvel,"63,318"
166,195,IVX,3,$3.99,Marvel,"63,293"
168,91,Secret Empire Omega,1,$4.99,Marvel,"63,137"
169,152,All New Wolverine,25,$3.99,Marvel,"63,083"
170,122,Generations Banner Hulk & Totally Awesome Hulk,1,$4.99,Marvel,"63,050"
172,165,Amazing Spider-Man,24,$3.99,Marvel,"62,952"
173,180,Amazing Spider-Man,26,$3.99,Marvel,"62,832"
174,176,Cable,1,$3.99,Marvel,"62,737"
176,162,Old Man Logan,25,$3.99,Marvel,"62,632"
177,139,Amazing Spider-Man Renew Your Vows,13,$3.99,Marvel,"62,040"
178,161,Amazing Spider-Man,792,$3.99,Marvel,"61,994"
179,133,Generations Morales & Parker Spider-Man,1,$4.99,Marvel,"61,927"
180,123,Inhumans Prime,1,$4.99,Marvel,"61,808"
183,173,Star Wars Darth Vader,4,$3.99,Marvel,"61,240"
184,151,Star Wars,40,$3.99,Marvel,"61,064"
189,168,Old Man Logan,31,$3.99,Marvel,"60,347"
192,166,Spirits of Vengeance,1,$3.99,Marvel,"59,879"
193,190,Star Wars Darth Maul,5,$3.99,Marvel,"59,827"
194,169,Deadpool Vs. Old Man Logan,1,$3.99,Marvel,"59,762"
196,179,X-Men Gold,3,$3.99,Marvel,"59,610"
197,177,Star Wars Darth Vader,5,$3.99,Marvel,"59,594"
198,140,Generations Phoenix & Jean Grey,1,$4.99,Marvel,"59,452"
199,167,Amazing Spider-Man,29,$3.99,Marvel,"59,449"
202,181,Star Wars Darth Maul,4,$3.99,Marvel,"59,193"
203,172,Daredevil,595,$3.99,Marvel,"59,111"
204,182,Amazing Spider-Man,32,$3.99,Marvel,"59,070"
207,204,All New Wolverine,19,$3.99,Marvel,"58,962"
208,187,Star Wars Darth Maul,3,$3.99,Marvel,"58,881"
209,171,Black Panther,166,$3.99,Marvel,"58,681"
214,222,X-Men Blue,2,$3.99,Marvel,"58,116"
218,196,Venomverse,2,$3.99,Marvel,"58,007"
219,215,Generations Hawkeye & Hawkeye,1,$4.99,Marvel,"57,951"
220,194,Astonishing X-Men,3,$3.99,Marvel,"57,886"
224,183,Peter Parker Spectacular Spider-Man,297,$3.99,Marvel,"57,437"
225,199,IVX,4,$3.99,Marvel,"57,387"
230,184,Spider-Man,234,$3.99,Marvel,"57,022"
231,200,Amazing Spider-Man,30,$3.99,Marvel,"56,980"
235,203,Star Wars Darth Vader,6,$3.99,Marvel,"56,724"
237,206,Venom,3,$3.99,Marvel,"56,442"
239,193,Star Wars,39,$3.99,Marvel,"56,355"
243,266,Clone Conspiracy,4,$3.99,Marvel,"55,990"
244,212,Ben Reilly Scarlet Spider,1,$3.99,Marvel,"55,834"
245,213,Venomverse,3,$3.99,Marvel,"55,755"
249,210,X-Men Gold,5,$3.99,Marvel,"55,658"
250,211,Peter Parker Spectacular Spider-Man,2,$3.99,Marvel,"55,653"
255,286,Unworthy Thor,3,$3.99,Marvel,"55,085"
257,223,IVX,5,$3.99,Marvel,"55,017"
259,202,Falcon,1,$3.99,Marvel,"54,927"
264,226,Venomverse,4,$3.99,Marvel,"54,611"
267,230,X-Men Gold,4,$3.99,Marvel,"54,377"
268,141,Weapons of Mutant Destruction,1,$4.99,Marvel,"54,360"
