Units,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
229,Ghost Rider,4,$3.99,01/08/20,Marvel,"23,472"
230,Ghost Rider,6,$3.99,03/11/20,Marvel,"23,466"
231,Symbiote Spider-Man Alien Reality,4,$3.99,03/11/20,Marvel,"23,465"
232,Tarot,1,$4.99,01/01/20,Marvel,"23,429"
233,Hawkeye Free Fall,2,$3.99,01/29/20,Marvel,"23,363"
238,Black Cat,10,$3.99,03/04/20,Marvel,"23,213"
239,Savage Avengers,0,$4.99,02/05/20,Marvel,"23,153"
240,Dr Strange,3,$3.99,02/12/20,Marvel,"23,126"
241,Amazing Spider-Man Daily Bugle,1,$3.99,01/29/20,Marvel,"23,078"
245,Scream Curse of Carnage,3,$3.99,01/29/20,Marvel,"22,658"
246,Doctor Doom,5,$3.99,02/05/20,Marvel,"22,651"
247,Star,3,$3.99,03/25/20,Marvel,"22,641"
250,Doctor Strange The End,1,$4.99,01/29/20,Marvel,"22,258"
253,Ghost Rider,5,$3.99,02/26/20,Marvel,"22,155"
257,Black Cat,9,$3.99,02/05/20,Marvel,"21,725"
258,Ghost-Spider,8,$3.99,03/18/20,Marvel,"21,514"
261,Doctor Strange,4,$3.99,03/04/20,Marvel,"21,291"
262,Revenge of Cosmic Ghost Rider,3,$3.99,02/19/20,Marvel,"21,168"
263,Conan The Barbarian,14,$3.99,03/18/20,Marvel,"20,983"
267,Nebula,1,$3.99,02/12/20,Marvel,"20,663"
271,Spider-Verse,5,$3.99,02/05/20,Marvel,"20,393"
272,Weapon Plus World War IV,,$4.99,01/29/20,Marvel,"20,296"
273,Punisher Soviet,3,$3.99,01/01/20,Marvel,"20,277"
274,Conan Serpent War,3,$3.99,01/08/20,Marvel,"20,058"
277,Atlantis Attacks,1,$3.99,01/22/20,Marvel,"19,802"
280,Punisher Soviet,4,$3.99,02/26/20,Marvel,"19,443"
281,Punisher Soviet,5,$3.99,03/11/20,Marvel,"19,295"
282,Ruins of Ravencroft Sabretooth,1,$4.99,01/15/20,Marvel,"19,267"
283,Marvel's Spider-Man Black Cat Strikes,1,$3.99,01/15/20,Marvel,"19,244"
284,Spider-Verse,4,$3.99,01/29/20,Marvel,"19,207"
285,Spider-Verse,6,$3.99,03/04/20,Marvel,"19,178"
289,Morbius,3,$3.99,01/08/20,Marvel,"18,684"
292,Amazing Mary Jane,4,$3.99,01/08/20,Marvel,"18,527"
294,Conan Serpent War,4,$4.99,01/22/20,Marvel,"18,463"
295,Valkyrie Jane Foster,7,$3.99,01/15/20,Marvel,"18,448"
297,Spirits Ghost Rider Mother of Demons,1,$4.99,02/12/20,Marvel,"18,400"
298,Revenge of Cosmic Ghost Rider,4,$3.99,03/25/20,Marvel,"18,375"
299,Punisher Soviet,6,$3.99,03/25/20,Marvel,"18,366"
300,Valkyrie Jane Foster,8,$3.99,02/19/20,Marvel,"18,292"
