Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Amazing Spider-Man,583,$3.99,Marvel,"530,500"
3,4,Captain America Reborn,1,$3.99,Marvel,"199,900"
9,9,Captain America,600,$4.99,Marvel,"136,800"
10,13,Dark Avengers,1,$3.99,Marvel,"136,500"
13,27,Captain America Reborn,2,$3.99,Marvel,"128,000"
15,10,Amazing Spider-Man,600,$4.99,Marvel,"125,800"
20,11,New Avengers,50,$4.99,Marvel,"110,100"
21,19,Captain America Reborn,3,$3.99,Marvel,"109,500"
27,22,Dark Avengers,2,$3.99,Marvel,"105,300"
28,23,Dark Avengers,3,$3.99,Marvel,"103,700"
29,44,Dark Avengers Uncanny X-Men Utopia,1,$3.99,Marvel,"103,500"
32,26,Dark Avengers,4,$3.99,Marvel,"102,200"
34,47,Ultimate Comics Avengers,1,$3.99,Marvel,"101,500"
38,15,Thor,600,$4.99,Marvel,"100,300"
40,77,Wolverine Weapon X,1,$3.99,Marvel,"99,600"
42,30,Dark Avengers,7,$3.99,Marvel,"97,300"
43,31,Captain America Reborn,4,$3.99,Marvel,"96,900"
44,32,Dark Avengers,5,$3.99,Marvel,"96,400"
46,21,Incredible Hulk,600,$4.99,Marvel,"95,900"
47,33,New Avengers,49,$3.99,Marvel,"95,800"
48,34,Dark Avengers,8,$3.99,Marvel,"95,600"
49,17,Wolverine Giant-Size Old Man Logan,1,$4.99,Marvel,"95,600"
50,35,New Avengers,53,$3.99,Marvel,"95,400"
51,36,Dark Avengers,6,$3.99,Marvel,"94,900"
52,39,New Avengers,54,$3.99,Marvel,"94,300"
53,57,Ultimate Comics Spider-Man,1,$3.99,Marvel,"94,100"
54,40,New Avengers,51,$3.99,Marvel,"93,900"
56,42,Uncanny X-Men,514,$3.99,Marvel,"93,500"
57,103,Wolverine,71,$2.99,Marvel,"93,400"
61,106,Wolverine,72,$2.99,Marvel,"92,200"
62,45,New Avengers,52,$3.99,Marvel,"92,100"
65,46,Captain America Reborn,5,$3.99,Marvel,"91,800"
67,50,New Avengers,56,$3.99,Marvel,"90,700"
68,63,Marvels Project,1,$3.99,Marvel,"90,200"
69,51,Captain America,601,$3.99,Marvel,"90,000"
70,52,Ultimatum,5,$3.99,Marvel,"89,300"
71,54,Uncanny X-Men,513,$3.99,Marvel,"88,700"
72,55,Ultimatum,4,$3.99,Marvel,"88,600"
76,64,Hulk,11,$3.99,Marvel,"87,600"
81,59,Ultimatum,3,$3.99,Marvel,"86,500"
82,61,New Avengers,57,$3.99,Marvel,"86,000"
83,120,Wolverine,73,$2.99,Marvel,"85,700"
85,62,New Avengers,55,$3.99,Marvel,"85,400"
89,66,Thor,601,$3.99,Marvel,"83,900"
92,91,Dark Wolverine,75,$3.99,Marvel,"82,900"
96,71,Dark Avengers,9,$3.99,Marvel,"81,400"
100,84,Captain America Reborn Who Will Wield the Shield,0,$3.99,Marvel,"80,800"
103,72,Hulk,10,$3.99,Marvel,"79,900"
105,149,Uncanny X-Men,510,$2.99,Marvel,"79,200"
106,85,Hulk,14,$3.99,Marvel,"79,200"
108,159,Uncanny X-Men,508,$2.99,Marvel,"78,200"
109,78,Dark Avengers Uncanny X-Men Exodus,0,$3.99,Marvel,"77,900"
112,162,Amazing Spider-Man,601,$2.99,Marvel,"77,400"
113,81,New Avengers,58,$3.99,Marvel,"77,300"
114,80,Uncanny X-Men,512,$3.99,Marvel,"77,200"
115,82,Mighty Avengers,21,$3.99,Marvel,"76,800"
116,49,Daredevil,500,$4.99,Marvel,"76,700"
118,86,Dark Avengers,10,$3.99,Marvel,"75,900"
120,173,Dark Wolverine,76,$2.99,Marvel,"74,900"
121,89,Hulk,12,$3.99,Marvel,"74,900"
122,88,New Avengers,59,$3.99,Marvel,"74,900"
123,191,X-Men Legacy,223,$2.99,Marvel,"74,700"
126,102,Dark X-Men Beginning,1,$3.99,Marvel,"74,300"
127,179,Uncanny X-Men,515,$2.99,Marvel,"74,200"
128,182,Mighty Avengers,22,$2.99,Marvel,"74,200"
129,180,Uncanny X-Men,511,$2.99,Marvel,"74,200"
130,185,Uncanny X-Men,516,$2.99,Marvel,"74,100"
131,178,Captain America,46,$2.99,Marvel,"74,000"
132,183,Amazing Spider-Man,602,$2.99,Marvel,"73,900"
133,312,Amazing Spider-Man,595,$2.99,Marvel,"73,900"
134,236,Ultimate Wolverine vs. Hulk,3,$2.99,Marvel,"73,800"
135,188,Uncanny X-Men,507,$2.99,Marvel,"73,400"
136,189,Astonishing X-Men,28,$2.99,Marvel,"73,300"
138,96,Captain America,50,$3.99,Marvel,"73,000"
139,93,Dark Avengers,11,$3.99,Marvel,"72,800"
140,94,New Avengers,60,$3.99,Marvel,"72,800"
142,194,Amazing Spider-Man,599,$2.99,Marvel,"72,500"
143,197,Mighty Avengers,23,$2.99,Marvel,"72,300"
144,196,Uncanny X-Men,506,$2.99,Marvel,"72,200"
145,198,Amazing Spider-Man,608,$2.99,Marvel,"72,100"
147,95,Hulk,13,$3.99,Marvel,"71,600"
148,99,Ultimate Comics Avengers,2,$3.99,Marvel,"71,500"
149,97,Thor,602,$3.99,Marvel,"71,400"
150,204,Amazing Spider-Man,603,$2.99,Marvel,"71,400"
154,121,Amazing Spider-Man,612,$3.99,Marvel,"70,700"
155,235,Amazing Spider-Man,592,$2.99,Marvel,"70,500"
157,214,Amazing Spider-Man,606,$2.99,Marvel,"70,300"
158,219,Uncanny X-Men,509,$2.99,Marvel,"70,300"
159,223,Uncanny X-Men,517,$2.99,Marvel,"70,000"
160,105,Dark Avengers,12,$3.99,Marvel,"69,800"
