Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
226,202,Avengers,30,$3.99,Marvel,"60,056"
227,206,All New X-Men,33,$3.99,Marvel,"59,893"
229,205,Avengers,26,$3.99,Marvel,"59,781"
233,307,Punisher,1,$3.99,Marvel,"59,332"
236,325,Black Widow,1,$3.99,Marvel,"59,099"
238,125,Deadpool,34,$4.99,Marvel,"59,006"
239,209,Guardians of Galaxy,12,$3.99,Marvel,"58,820"
240,208,All New X-Men,29,$3.99,Marvel,"58,778"
241,200,Guardians 3000,1,$3.99,Marvel,"58,745"
243,211,Uncanny X-Men,16,$3.99,Marvel,"58,670"
248,219,Uncanny X-Men,27,$3.99,Marvel,"58,377"
249,216,All New X-Men,28,$3.99,Marvel,"58,367"
250,222,All New X-Men,31,$3.99,Marvel,"58,212"
251,220,Rocket Raccoon,4,$3.99,Marvel,"58,158"
254,121,Uncanny X-Men,25,$4.99,Marvel,"58,028"
256,297,All New Invaders,1,$3.99,Marvel,"57,953"
259,123,Guardians of Galaxy,14,$4.99,Marvel,"57,636"
261,230,All New X-Men,34,$3.99,Marvel,"57,569"
264,233,Guardians of Galaxy,13,$3.99,Marvel,"57,328"
266,235,Iron Fist Living Weapon,1,$3.99,Marvel,"57,134"
269,236,Avengers,36,$3.99,Marvel,"56,897"
273,238,Avengers,32,$3.99,Marvel,"56,635"
276,241,Guardians of Galaxy,15,$3.99,Marvel,"56,440"
278,240,Origin II,3,$3.99,Marvel,"56,292"
279,245,Uncanny X-Men,17,$3.99,Marvel,"56,288"
280,124,Thor God of Thunder,25,$4.99,Marvel,"56,217"
281,249,Uncanny X-Men,28,$3.99,Marvel,"56,122"
287,252,Guardians of Galaxy,19,$3.99,Marvel,"55,764"
291,400,Wolverine and X-Men,1,$3.99,Marvel,"55,563"
292,256,Uncanny Avengers,16,$3.99,Marvel,"55,525"
294,250,Deadpool,29,$3.99,Marvel,"55,502"
295,258,Avengers World,2,$3.99,Marvel,"55,501"
297,259,Rocket Raccoon,3,$3.99,Marvel,"55,423"
299,257,Guardians of Galaxy,16,$3.99,Marvel,"55,381"
301,263,Uncanny X-Men,20,$3.99,Marvel,"55,333"
302,253,Deadpool Vs. X-Force,1,$3.99,Marvel,"55,312"
304,268,Edge of Spider-Verse,5,$3.99,Marvel,"55,270"
306,264,Avengers,31,$3.99,Marvel,"55,248"
307,272,All New X-Men,30,$3.99,Marvel,"55,029"
308,229,Deadpool,30,$3.99,Marvel,"54,990"
309,270,Uncanny X-Men,24,$3.99,Marvel,"54,979"
311,84,Miracleman,1,$5.99,Marvel,"54,908"
312,275,Uncanny X-Men,18,$3.99,Marvel,"54,843"
314,278,Avengers,38,$3.99,Marvel,"54,694"
315,417,All New Ghost Rider,1,$3.99,Marvel,"54,582"
318,280,Uncanny X-Men,21,$3.99,Marvel,"54,490"
319,281,Avengers,27,$3.99,Marvel,"54,475"
324,284,All New X-Men,32,$3.99,Marvel,"54,283"
325,283,Uncanny Avengers,17,$3.99,Marvel,"54,235"
326,289,Amazing X-Men,3,$3.99,Marvel,"53,965"
330,294,Uncanny Avengers,25,$3.99,Marvel,"53,579"
333,304,Uncanny X-Men,29,$3.99,Marvel,"53,502"
334,299,Uncanny Avengers,19,$3.99,Marvel,"53,487"
335,301,Edge of Spider-Verse,3,$3.99,Marvel,"53,403"
337,305,Rocket Raccoon,5,$3.99,Marvel,"53,294"
338,291,Deadpool Vs. Carnage,2,$3.99,Marvel,"53,206"
339,309,Avengers,34,$3.99,Marvel,"53,163"
341,308,Avengers,28,$3.99,Marvel,"53,011"
344,95,Wolverine,12,$5.99,Marvel,"52,962"
350,322,X-Men,10.NOW,$3.99,Marvel,"52,758"
351,312,Nightcrawler,1,$3.99,Marvel,"52,665"
352,315,Uncanny Avengers,20,$3.99,Marvel,"52,651"
353,314,Avengers,33,$3.99,Marvel,"52,633"
356,321,Guardians of Galaxy,22,$3.99,Marvel,"52,470"
357,319,Uncanny X-Men,22,$3.99,Marvel,"52,403"
358,155,Original Sin Annual,1,$4.99,Marvel,"52,334"
360,318,Deadpool,37,$3.99,Marvel,"52,077"
361,327,Uncanny X-Men,26,$3.99,Marvel,"52,015"
363,329,Edge of Spider-Verse,4,$3.99,Marvel,"51,926"
364,162,Guardians of Galaxy Annual,1,$4.99,Marvel,"51,828"
367,331,Origin II,4,$3.99,Marvel,"51,514"
368,338,Uncanny Avengers,23,$3.99,Marvel,"51,511"
369,336,Uncanny Avengers,22,$3.99,Marvel,"51,481"
372,1064,Inhuman,8,$3.99,Marvel,"51,017"
374,341,Wolverine,10,$3.99,Marvel,"51,001"
378,317,Night of Living Deadpool,1,$3.99,Marvel,"50,869"
381,354,New Avengers,14,$3.99,Marvel,"50,650"
382,349,Wolverine,11,$3.99,Marvel,"50,628"
383,352,Original Sin,5.1,$3.99,Marvel,"50,596"
386,346,Deadpool,33,$3.99,Marvel,"50,553"
390,347,Deadpool,31,$3.99,Marvel,"50,336"
391,360,Uncanny Avengers,21,$3.99,Marvel,"50,302"
392,355,Death of Wolverine Logan Legacy,2,$3.99,Marvel,"50,277"
394,718,She-Hulk,1,$2.99,Marvel,"50,168"
395,365,Uncanny Avengers,24,$3.99,Marvel,"50,164"
398,369,All New Captain America,2,$3.99,Marvel,"50,077"
399,374,X-Men,9,$3.99,Marvel,"50,042"
400,661,Deadpool,25.NOW,$2.99,Marvel,"50,037"
402,368,Spider-Man 2099,2,$3.99,Marvel,"49,999"
403,372,Miles Morales Ultimate Spider-Man,1,$3.99,Marvel,"49,926"
