Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
6,7,Ultimate Comics Spider-Man,160,$3.99,Marvel,"172,700"
13,14,Fantastic Four,587,$3.99,Marvel,"146,100"
14,11,Fear Itself,1,$3.99,Marvel,"146,000"
18,9,Amazing Spider-Man,666,$3.99,Marvel,"139,500"
21,61,Ultimate Fallout,4,$3.99,Marvel,"130,667"
23,22,FF,1,$3.99,Marvel,"126,100"
28,58,Point One,1,$5.99,Marvel,"115,600"
29,20,Avenging Spider-Man,1,$3.99,Marvel,"113,200"
31,32,Incredible Hulk,1,$3.99,Marvel,"112,700"
32,24,Uncanny X-Men,1,$3.99,Marvel,"112,300"
34,27,Fear Itself,2,$3.99,Marvel,"108,800"
38,33,Captain America,1,$3.99,Marvel,"104,000"
39,28,Fear Itself,3,$3.99,Marvel,"103,700"
40,38,Wolverine and X-Men,1,$3.99,Marvel,"103,600"
43,41,Fear Itself,4,$3.99,Marvel,"98,800"
45,44,Ultimate Comics Spider-Man,1,$3.99,Marvel,"98,100"
47,16,Fear Itself,7,$4.99,Marvel,"96,700"
49,35,Fear Itself,6,$3.99,Marvel,"95,900"
51,36,Fear Itself,5,$3.99,Marvel,"94,800"
52,39,Avengers X-Sanction,1,$3.99,Marvel,"93,400"
59,49,Mighty Thor,1,$3.99,Marvel,"90,000"
65,127,Defenders,1,$3.99,Marvel,"86,000"
66,89,Wolverine and X-Men,2,$3.99,Marvel,"84,500"
68,212,Incredible Hulk,2,$3.99,Marvel,"81,200"
80,150,FF,2,$2.99,Marvel,"76,600"
85,8,Fantastic Four,600,$7.99,Marvel,"75,400"
90,59,Uncanny X-Men,2,$3.99,Marvel,"73,700"
92,64,Amazing Spider-Man,667,$3.99,Marvel,"73,500"
97,50,X-Men Schism,1,$4.99,Marvel,"72,100"
100,88,Fantastic Four,588,$3.99,Marvel,"71,900"
101,63,Daredevil,1,$3.99,Marvel,"71,700"
110,211,FF,3,$2.99,Marvel,"70,900"
113,78,Fear Itself Book of the Skull,1,$3.99,Marvel,"69,400"
114,70,Avengers,13,$3.99,Marvel,"69,400"
115,222,Kick-Ass 2,2,$2.99,Marvel,"69,300"
118,91,Ultimate Comics X-Men,1,$3.99,Marvel,"68,600"
121,72,Avengers,11,$3.99,Marvel,"67,900"
122,82,X-Men,7,$3.99,Marvel,"67,700"
123,74,Amazing Spider-Man,669,$3.99,Marvel,"67,000"
127,77,Avengers,9,$3.99,Marvel,"66,100"
128,154,Venom,1,$3.99,Marvel,"65,600"
131,80,Avengers,10,$3.99,Marvel,"65,300"
133,81,Avengers,14,$3.99,Marvel,"64,900"
134,253,FF,4,$2.99,Marvel,"64,500"
136,85,Amazing Spider-Man,658,$3.99,Marvel,"64,300"
137,87,Avengers,12,$3.99,Marvel,"64,300"
139,86,Uncanny X-Men,3,$3.99,Marvel,"64,100"
143,94,Amazing Spider-Man,657,$3.99,Marvel,"62,800"
144,99,Avengers,15,$3.99,Marvel,"62,600"
146,93,Uncanny X-Men,544,$3.99,Marvel,"62,400"
147,96,New Avengers,8,$3.99,Marvel,"62,400"
149,126,Ultimate Comics Ultimates,1,$3.99,Marvel,"62,300"
150,95,Amazing Spider-Man,656,$3.99,Marvel,"62,300"
151,97,Avengers,17,$3.99,Marvel,"62,100"
152,279,Avengers,12.1,$2.99,Marvel,"62,000"
154,286,Ultimate Fallout,1,$3.99,Marvel,"61,900"
157,98,New Avengers,11,$3.99,Marvel,"61,800"
161,100,Ultimate Comics Spider-Man,2,$3.99,Marvel,"61,500"
163,107,Amazing Spider-Man,668,$3.99,Marvel,"61,400"
164,101,New Avengers,9,$3.99,Marvel,"61,200"
166,102,New Avengers,12,$3.99,Marvel,"60,900"
167,103,Amazing Spider-Man,659,$3.99,Marvel,"60,800"
169,106,Fear Itself,7.1,$3.99,Marvel,"60,700"
170,104,Avenging Spider-Man,2,$3.99,Marvel,"60,700"
171,105,Avengers,16,$3.99,Marvel,"60,600"
173,109,X-Men Regenesis,1,$3.99,Marvel,"60,300"
174,298,FF,5,$2.99,Marvel,"60,100"
175,319,Fear Itself Fearless,1,$2.99,Marvel,"60,100"
176,108,Amazing Spider-Man,671,$3.99,Marvel,"60,000"
177,110,New Avengers,10,$3.99,Marvel,"60,000"
178,114,Amazing Spider-Man,651,$3.99,Marvel,"59,800"
179,111,Avengers,18,$3.99,Marvel,"59,800"
181,112,Uncanny X-Men,543,$3.99,Marvel,"59,700"
183,117,Amazing Spider-Man,661,$3.99,Marvel,"59,700"
186,132,New Avengers,14,$3.99,Marvel,"59,000"
187,118,Amazing Spider-Man,670,$3.99,Marvel,"59,000"
189,141,X-Men Schism,2,$3.99,Marvel,"58,900"
192,121,Amazing Spider-Man,672,$3.99,Marvel,"58,700"
193,122,Amazing Spider-Man,660,$3.99,Marvel,"58,600"
195,234,Wolverine and X-Men,3,$3.99,Marvel,"58,400"
197,65,Invincible Iron Man,500,$4.99,Marvel,"58,400"
199,128,Fear Itself,7.2,$3.99,Marvel,"58,200"
200,130,New Avengers,16,$3.99,Marvel,"58,200"
202,129,Amazing Spider-Man,654,$3.99,Marvel,"58,100"
204,552,Fear Itself Fearless,2,$2.99,Marvel,"57,800"
205,136,Uncanny X-Force,12,$3.99,Marvel,"57,800"
206,157,Uncanny X-Men,541,$3.99,Marvel,"57,800"
207,153,Uncanny X-Men,540,$3.99,Marvel,"57,800"
208,137,New Avengers,13,$3.99,Marvel,"57,700"
211,133,Amazing Spider-Man,674,$3.99,Marvel,"57,600"
212,328,X-Men Legacy,245,$2.99,Marvel,"57,600"
213,135,Amazing Spider-Man,665,$3.99,Marvel,"57,500"
215,138,Amazing Spider-Man,663,$3.99,Marvel,"57,500"
216,142,X-Men Schism,5,$3.99,Marvel,"57,500"
217,356,Amazing Spider-Man,654.1,$2.99,Marvel,"57,500"
218,144,Uncanny X-Men,535,$3.99,Marvel,"57,400"
220,145,Captain America,2,$3.99,Marvel,"57,300"
221,140,Amazing Spider-Man,673,$3.99,Marvel,"57,300"
223,147,Avengers,20,$3.99,Marvel,"57,100"
224,156,X-Men Schism,3,$3.99,Marvel,"57,000"
225,152,Amazing Spider-Man,655,$3.99,Marvel,"56,900"
226,149,Amazing Spider-Man,662,$3.99,Marvel,"56,800"
227,151,Avengers,19,$3.99,Marvel,"56,800"
232,346,FF,6,$2.99,Marvel,"56,500"
