Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
2,3,Uncanny Avengers,1,$3.99,Marvel,"305,900"
3,4,Avengers Vs X-Men,1,$3.99,Marvel,"265,100"
4,1,Amazing Spider-Man,700,$7.99,Marvel,"201,000"
5,6,Avengers Vs X-Men,2,$3.99,Marvel,"200,300"
6,9,Avengers Vs X-Men,6,$3.99,Marvel,"197,000"
7,7,Avengers Vs X-Men,5,$3.99,Marvel,"192,200"
8,8,Avengers Vs X-Men,3,$3.99,Marvel,"190,000"
9,10,Avengers Vs X-Men,4,$3.99,Marvel,"187,500"
10,13,Avengers,1,$3.99,Marvel,"187,000"
11,14,All New X-Men,1,$3.99,Marvel,"184,700"
12,11,Avengers Vs X-Men,7,$3.99,Marvel,"182,500"
13,12,Avengers Vs X-Men,8,$3.99,Marvel,"178,700"
14,16,Avengers Vs X-Men,9,$3.99,Marvel,"174,800"
15,15,Avengers Vs X-Men,10,$3.99,Marvel,"172,100"
16,5,Avengers Vs X-Men,12,$4.99,Marvel,"171,800"
18,25,Avengers Vs X-Men,0,$3.99,Marvel,"169,700"
19,18,Avengers Vs X-Men,11,$3.99,Marvel,"169,100"
39,46,Captain America,1,$3.99,Marvel,"127,000"
41,55,Indestructible Hulk,1,$3.99,Marvel,"120,300"
42,87,Deadpool,1,$2.99,Marvel,"119,000"
44,58,Iron Man,1,$3.99,Marvel,"117,400"
45,43,Uncanny Avengers,2,$3.99,Marvel,"116,500"
46,42,AVX Vs,1,$3.99,Marvel,"115,900"
48,99,Fantastic Four,1,$2.99,Marvel,"115,300"
52,66,Thor God of Thunder,1,$3.99,Marvel,"111,600"
56,65,Avengers Assemble,1,$3.99,Marvel,"107,900"
57,67,A Plus X,1,$3.99,Marvel,"107,600"
63,57,AVX Vs,2,$3.99,Marvel,"101,600"
65,64,All New X-Men,2,$3.99,Marvel,"98,600"
68,27,Amazing Spider-Man,692,$5.99,Marvel,"97,100"
70,63,Spider-Men,1,$3.99,Marvel,"95,900"
71,75,AVX Vs,3,$3.99,Marvel,"94,800"
73,69,Avengers,2,$3.99,Marvel,"93,900"
82,84,Cable and X-Force,1,$3.99,Marvel,"90,300"
88,76,AVX Vs,4,$3.99,Marvel,"87,500"
89,213,X-Men Legacy,1,$2.99,Marvel,"87,400"
92,108,Astonishing X-Men,51,$3.99,Marvel,"86,200"
94,79,Amazing Spider-Man,698,$3.99,Marvel,"85,500"
98,81,All New X-Men,3,$3.99,Marvel,"83,800"
100,219,Thunderbolts,1,$2.99,Marvel,"83,400"
104,242,FF,1,$2.99,Marvel,"81,800"
105,89,All New X-Men,4,$3.99,Marvel,"80,700"
112,90,AVX Vs,5,$3.99,Marvel,"78,200"
115,94,AVX Consequences,1,$3.99,Marvel,"77,200"
120,110,Uncanny X-Men,11,$3.99,Marvel,"75,900"
127,97,AVX Vs,6,$3.99,Marvel,"75,400"
130,101,Amazing Spider-Man,699,$3.99,Marvel,"74,900"
135,131,Iron Man,2,$3.99,Marvel,"73,900"
147,122,Uncanny X-Men,13,$3.99,Marvel,"70,800"
149,136,Avengers,25,$3.99,Marvel,"70,700"
150,138,Wolverine and X-Men,9,$3.99,Marvel,"70,400"
152,112,Spider-Men,2,$3.99,Marvel,"70,300"
153,111,Uncanny X-Men,12,$3.99,Marvel,"70,200"
155,52,Marvel Now Point One,1,$5.99,Marvel,"69,500"
157,144,New Avengers,24,$3.99,Marvel,"69,300"
159,133,Avengers,27,$3.99,Marvel,"69,100"
165,130,Uncanny X-Men,14,$3.99,Marvel,"68,300"
167,376,Deadpool,2,$2.99,Marvel,"68,100"
170,120,Avengers,26,$3.99,Marvel,"67,700"
174,126,New Avengers,25,$3.99,Marvel,"66,800"
175,175,Thor God of Thunder,2,$3.99,Marvel,"66,800"
177,127,Uncanny X-Men,15,$3.99,Marvel,"66,500"
178,129,AVX Consequences,2,$3.99,Marvel,"66,400"
179,128,Uncanny X-Men,20,$3.99,Marvel,"66,400"
182,318,Amazing Spider-Man,699.1,$2.99,Marvel,"66,200"
185,320,Hit-Girl,1,$2.99,Marvel,"65,900"
187,134,Wolverine and X-Men,11,$3.99,Marvel,"65,700"
190,201,A Plus X,2,$3.99,Marvel,"65,400"
191,153,Wolverine and X-Men,12,$3.99,Marvel,"65,400"
193,159,New Avengers,27,$3.99,Marvel,"65,400"
197,125,Amazing Spider-Man,688,$3.99,Marvel,"65,000"
202,381,Avengers Arena,1,$2.99,Marvel,"64,600"
205,189,Captain America,2,$3.99,Marvel,"64,400"
206,142,New Avengers,26,$3.99,Marvel,"64,300"
207,141,Uncanny X-Men,16,$3.99,Marvel,"64,300"
210,143,Uncanny X-Men,5,$3.99,Marvel,"64,200"
214,148,Avengers,28,$3.99,Marvel,"63,900"
216,150,Wolverine and X-Men,10,$3.99,Marvel,"63,700"
217,194,Indestructible Hulk,2,$3.99,Marvel,"63,700"
218,149,Uncanny X-Men,4,$3.99,Marvel,"63,600"
223,151,Amazing Spider-Man,687,$3.99,Marvel,"63,200"
224,154,Wolverine and X-Men,13,$3.99,Marvel,"63,200"
225,152,AVX Consequences,3,$3.99,Marvel,"63,200"
228,155,New Avengers,28,$3.99,Marvel,"62,900"
230,157,Avengers,31,$3.99,Marvel,"62,800"
231,163,Wolverine and X-Men,4,$3.99,Marvel,"62,600"
232,156,Amazing Spider-Man,683,$3.99,Marvel,"62,600"
233,160,Scarlet Spider,1,$3.99,Marvel,"62,400"
234,98,Wolverine,300,$4.99,Marvel,"62,400"
235,281,Astonishing X-Men,50,$3.99,Marvel,"62,300"
237,165,AVX Consequences,4,$3.99,Marvel,"62,000"
239,166,Avengers,29,$3.99,Marvel,"61,700"
240,168,Avengers X-Sanction,2,$3.99,Marvel,"61,600"
241,204,Wolverine,310,$3.99,Marvel,"61,500"
242,169,Wolverine and X-Men,14,$3.99,Marvel,"61,500"
244,171,AVX Consequences,5,$3.99,Marvel,"61,400"
246,178,Amazing Spider-Man,682,$3.99,Marvel,"61,200"
247,172,Amazing Spider-Man,691,$3.99,Marvel,"61,100"
249,173,Uncanny X-Men,17,$3.99,Marvel,"61,000"
253,176,Amazing Spider-Man,689,$3.99,Marvel,"60,500"
254,177,Amazing Spider-Man,693,$3.99,Marvel,"60,500"
255,180,Amazing Spider-Man,697,$3.99,Marvel,"60,300"
256,179,Amazing Spider-Man,684,$3.99,Marvel,"60,300"
257,427,Deadpool,3,$2.99,Marvel,"60,200"
259,182,Amazing Spider-Man,694,$3.99,Marvel,"60,100"
260,185,Uncanny X-Men,6,$3.99,Marvel,"59,900"
261,187,Uncanny X-Men,18,$3.99,Marvel,"59,900"
262,184,Amazing Spider-Man,686,$3.99,Marvel,"59,700"
263,190,Uncanny X-Men,7,$3.99,Marvel,"59,600"
264,186,Amazing Spider-Man,685,$3.99,Marvel,"59,600"
266,191,New Avengers,29,$3.99,Marvel,"59,500"
268,196,Uncanny X-Men,19,$3.99,Marvel,"59,300"
269,197,Avengers,30,$3.99,Marvel,"59,200"
270,193,Amazing Spider-Man,690,$3.99,Marvel,"59,200"
273,228,Iron Man,3,$3.99,Marvel,"59,000"
276,199,Amazing Spider-Man,696,$3.99,Marvel,"58,600"
279,387,Age of Apocalypse,1,$2.99,Marvel,"58,500"
282,437,Fantastic Four,2,$2.99,Marvel,"58,400"
283,203,Amazing Spider-Man,677,$3.99,Marvel,"58,400"
284,449,X-Men Legacy,2,$2.99,Marvel,"58,300"
285,206,Amazing Spider-Man,695,$3.99,Marvel,"58,300"
286,211,Wolverine and X-Men,15,$3.99,Marvel,"57,900"
287,212,Spider-Men,3,$3.99,Marvel,"57,900"
288,234,Uncanny X-Men,9,$3.99,Marvel,"57,800"
290,210,Uncanny X-Men,8,$3.99,Marvel,"57,800"
292,255,Cable and X-Force,2,$3.99,Marvel,"57,700"
293,106,Avengers,34,$4.99,Marvel,"57,500"
299,221,New Avengers,30,$3.99,Marvel,"57,000"
301,217,Uncanny X-Men,10,$3.99,Marvel,"56,900"
302,223,Avengers X-Sanction,3,$3.99,Marvel,"56,900"
303,240,Iron Man,4,$3.99,Marvel,"56,700"
304,252,A Plus X,3,$3.99,Marvel,"56,700"
306,273,Avengers X-Sanction,4,$3.99,Marvel,"56,600"
307,226,Avengers,32,$3.99,Marvel,"56,300"
308,230,Wolverine and X-Men,16,$3.99,Marvel,"56,000"
311,232,Wolverine and X-Men,5,$3.99,Marvel,"55,800"
312,233,Avengers,21,$3.99,Marvel,"55,700"
315,274,Thor God of Thunder,3,$3.99,Marvel,"55,500"
316,371,First X-Men,1,$3.99,Marvel,"55,500"
318,239,Wolverine and X-Men,6,$3.99,Marvel,"55,300"
319,241,Secret Avengers,26,$3.99,Marvel,"55,300"
321,243,Wolverine and X-Men,17,$3.99,Marvel,"55,200"
324,244,Amazing Spider-Man,678,$3.99,Marvel,"54,900"
326,248,Wolverine and X-Men,7,$3.99,Marvel,"54,700"
327,246,Avenging Spider-Man,3,$3.99,Marvel,"54,600"
330,250,New Avengers,21,$3.99,Marvel,"54,500"
332,254,Spider-Men,4,$3.99,Marvel,"54,400"
334,123,New Avengers,34,$4.99,Marvel,"54,100"
335,257,Wolverine and X-Men,8,$3.99,Marvel,"54,000"
336,444,Avengers,24.1,$2.99,Marvel,"53,900"
338,259,Avengers Assemble,2,$3.99,Marvel,"53,800"
339,432,Supercrooks,1,$2.99,Marvel,"53,700"
341,266,New Avengers,31,$3.99,Marvel,"53,500"
347,267,Avengers,33,$3.99,Marvel,"53,400"
348,269,Avengers,22,$3.99,Marvel,"53,200"
349,448,Winter Soldier,1,$2.99,Marvel,"53,200"
350,270,New Avengers,20,$3.99,Marvel,"53,200"
352,271,Amazing Spider-Man,679,$3.99,Marvel,"53,100"
355,481,Hawkeye,1,$2.99,Marvel,"53,000"
356,278,Spider-Men,5,$3.99,Marvel,"53,000"
357,276,Avengers,23,$3.99,Marvel,"52,800"
359,275,Amazing Spider-Man,680,$3.99,Marvel,"52,700"
360,280,New Avengers,32,$3.99,Marvel,"52,700"
363,282,New Avengers,23,$3.99,Marvel,"52,500"
