Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
2009,Deadpool Merc With A Mouth,2.99,Marvel,53.9,161.161
2009,Black Panther 2,3.99,Marvel,53.8,214.662
2009,Thunderbolts,2.99,Marvel,53.5,159.965
2009,Fantastic Four,2.99,Marvel,53.3,159.367
2009,Hulk,3.99,Marvel,53.2,212.26800000000003
2009,Mighty Avengers,2.99,Marvel,53.2,159.068
2009,Hulk,3.99,Marvel,53.1,211.86900000000003
2009,X-Men Legacy,2.99,Marvel,53.1,158.769
2009,Secret Invasion War of Kings One Shot,3.99,Marvel,52.9,211.071
2009,Ultimate Comics Spider-Man,3.99,Marvel,52.9,211.071
2009,X Necrosha,3.99,Marvel,52.9,211.071
2009,Deadpool,2.99,Marvel,52.8,157.872
2009,Dark Wolverine,2.99,Marvel,52.6,157.27400000000003
2009,X-Force,2.99,Marvel,52.5,156.97500000000002
2009,Deadpool,2.99,Marvel,52.5,156.97500000000002
2009,Incredible Hulk,3.99,Marvel,52.4,209.076
2009,Invincible Iron Man,2.99,Marvel,52.4,156.67600000000002
2009,Ultimate X-Men,3.99,Marvel,52.4,209.076
2009,Invincible Iron Man,2.99,Marvel,52.3,156.377
2009,Dark Reign Cabal,3.99,Marvel,52.3,208.677
2009,Cable,2.99,Marvel,52.3,156.377
2009,X-Force,2.99,Marvel,52.3,156.377
2009,X-Force,2.99,Marvel,52.1,155.77900000000002
2009,X-Force,3.99,Marvel,51.9,207.08100000000002
2009,Invincible Iron Man,2.99,Marvel,51.8,154.882
2009,Deadpool,4.99,Marvel,51.8,258.48199999999997
2009,Secret Warriors,2.99,Marvel,51.8,154.882
2009,Wolverine Weapon X,3.99,Marvel,51.5,205.485
2009,Invincible Iron Man,2.99,Marvel,51.4,153.686
2009,Kick Ass,2.99,Marvel,51.3,153.387
2009,Ultimate Comics Armor Wars,3.99,Marvel,51.2,204.288
2009,Secret Warriors,2.99,Marvel,51.1,152.78900000000002
2009,War of Kings,3.99,Marvel,51.0,203.49
2009,X-Men Legacy,2.99,Marvel,50.9,152.191
2009,Spider-Woman,3.99,Marvel,50.9,203.091
2009,X-Men Legacy,2.99,Marvel,50.8,151.892
2009,X-Force,2.99,Marvel,50.7,151.59300000000002
2009,Dark X-Men Confession One Shot,3.99,Marvel,50.5,201.495
2009,Dark X-Men,3.99,Marvel,50.4,201.096
2009,Kick Ass,2.99,Marvel,50.4,150.696
2009,Thunderbolts,2.99,Marvel,50.3,150.397
2009,Ultimate Spider-Man,2.99,Marvel,50.3,150.397
2009,Ultimate Spider-Man,2.99,Marvel,50.3,150.397
2009,Ultimate Spider-Man,2.99,Marvel,50.2,150.098
2009,Cable,2.99,Marvel,50.2,150.098
2009,Dark Tower Treachery,3.99,Marvel,50.2,200.29800000000003
2009,Fantastic Four,2.99,Marvel,50.1,149.799
2009,Amazing Spider-Man Annual,3.99,Marvel,50.1,199.89900000000003
2009,New Avengers Reunion,3.99,Marvel,49.9,199.101
2009,Mighty Avengers,2.99,Marvel,49.9,149.201
2009,Wolverine Weapon X,3.99,Marvel,49.8,198.702
2009,X-Force,2.99,Marvel,49.8,148.90200000000002
2009,X-Men Legacy,3.99,Marvel,49.8,198.702
2009,Incredible Hulk,3.99,Marvel,49.3,196.707
2009,Ultimate Comics Spider-Man,3.99,Marvel,49.2,196.30800000000002
2009,Avengers Invaders,2.99,Marvel,49.2,147.10800000000003
2009,Dark Tower Treachery,3.99,Marvel,49.2,196.30800000000002
2009,Punisher,3.99,Marvel,49.2,196.30800000000002
2009,Thunderbolts,2.99,Marvel,49.1,146.80900000000003
2009,Fantastic Four,2.99,Marvel,49.0,146.51000000000002
2009,Invincible Iron Man,2.99,Marvel,48.9,146.211
2009,Avengers Initiative,2.99,Marvel,48.9,146.211
2009,Stand American Nightmares,3.99,Marvel,48.9,195.11100000000002
2009,Deadpool,2.99,Marvel,48.7,145.61300000000003
2009,Mighty Avengers,2.99,Marvel,48.7,145.61300000000003
2009,Dark Reign Fantastic Four,2.99,Marvel,48.5,145.01500000000001
2009,Avengers Invaders,2.99,Marvel,48.5,145.01500000000001
2009,Deadpool,2.99,Marvel,48.4,144.716
2009,Dark Reign List Wolverine One Shot,3.99,Marvel,48.3,192.717
2009,Fantastic Four,2.99,Marvel,48.3,144.417
2009,Invincible Iron Man,2.99,Marvel,48.3,144.417
2009,Marvels Project,3.99,Marvel,48.3,192.717
2009,Ultimatum Spider-Man Requiem,3.99,Marvel,48.1,191.919
2009,Avengers Initiative,2.99,Marvel,48.1,143.81900000000002
2009,Dark Wolverine,2.99,Marvel,48.1,143.81900000000002
2009,Thor Annual,3.99,Marvel,48.0,191.52
2009,Invincible Iron Man,3.99,Marvel,47.9,191.121
2009,Cable,2.99,Marvel,47.7,142.62300000000002
2009,Fantastic Four,2.99,Marvel,47.6,142.324
2009,Wolverine Origins,2.99,Marvel,47.5,142.025
2009,Stand Captain Trips,3.99,Marvel,47.4,189.126
2009,Invincible Iron Man,2.99,Marvel,47.3,141.427
2009,X-Men Legacy Annual,3.99,Marvel,47.2,188.32800000000003
2009,Deadpool,2.99,Marvel,46.9,140.231
