Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
3152100,2021,Venom,9.99,Marvel,299979.0,2996790.21,3.00M
3152101,2021,Alien,4.99,Marvel,264297.0,1318842.03,1.32M
3152102,2021,Moon Knight,4.99,Marvel,254223.0,1268572.77,1.27M
3152103,2021,X-Men,4.99,Marvel,249409.0,1244550.9100000001,1.24M
3152104,2021,Star Wars War Bounty Hunters Alpha,3.99,Marvel,236827.0,944939.7300000001,944.94K
3152105,2021,Star Wars High Republic,3.99,Marvel,218338.0,871168.62,871.17K
3152106,2021,Carnage Black White and Blood,4.99,Marvel,205199.0,1023943.01,1.02M
3152107,2021,Eternals,4.99,Marvel,197707.0,986557.93,986.56K
3152108,2021,Amazing Spider-Man,3.99,Marvel,196528.0,784146.7200000001,784.15K
3152109,2021,Star Wars War Bounty Hunters,4.99,Marvel,190555.0,950869.4500000001,950.87K
31521010,2021,Demon Days X-Men,4.99,Marvel,181923.0,907795.77,907.80K
31521011,2021,Star Wars High Republic,3.99,Marvel,161093.0,642761.0700000001,642.76K
31521012,2021,Non-Stop Spider-Man,4.99,Marvel,153948.0,768200.52,768.20K
31521013,2021,Star Wars High Republic,3.99,Marvel,148196.0,591302.04,591.30K
31521014,2021,Inferno,5.99,Marvel,139904.0,838024.9600000001,838.02K
31521015,2021,Silk,3.99,Marvel,133035.0,530809.65,530.81K
31521016,2021,Extreme Carnage Alpha,4.99,Marvel,132122.0,659288.78,659.29K
31521017,2021,King In Black Gwenom Vs. Carnage,3.99,Marvel,127627.0,509231.73000000004,509.23K
31521018,2021,Amazing Spider-Man,3.99,Marvel,127524.0,508820.76,508.82K
31521019,2021,Miles Morales Spider-Man,4.99,Marvel,125304.0,625266.9600000001,625.27K
31521020,2021,Sinister War,4.99,Marvel,124684.0,622173.16,622.17K
31521021,2021,Amazing Spider-Man,9.99,Marvel,124352.0,1242276.48,1.24M
31521022,2021,Heroes Reborn,5.99,Marvel,123638.0,740591.62,740.59K
31521023,2021,King In Black,5.99,Marvel,121284.0,726491.16,726.49K
31521024,2021,Venom,3.99,Marvel,120680.0,481513.2,481.51K
31521025,2021,X-Men Trial of Magneto,4.99,Marvel,119657.0,597088.43,597.09K
31521026,2021,Dark Ages,4.99,Marvel,117381.0,585731.1900000001,585.73K
31521027,2021,Amazing Spider-Man,3.99,Marvel,116712.0,465680.88,465.68K
31521028,2021,Star Wars High Republic,3.99,Marvel,114639.0,457409.61000000004,457.41K
31521029,2021,Demon Days Mariko,4.99,Marvel,113537.0,566549.63,566.55K
31521030,2021,Venom,3.99,Marvel,110774.0,441988.26,441.99K
31521031,2021,King In Black,4.99,Marvel,110376.0,550776.24,550.78K
31521032,2021,Children of Atom,4.99,Marvel,107301.0,535431.99,535.43K
31521033,2021,Venom,3.99,Marvel,102340.0,408336.60000000003,408.34K
31521034,2021,Moon Knight,3.99,Marvel,101698.0,405775.02,405.78K
31521035,2021,Star Wars High Republic,3.99,Marvel,101372.0,404474.28,404.47K
31521036,2021,King In Black,4.99,Marvel,100618.0,502083.82,502.08K
31521037,2021,Spider-Man Spiders Shadow,4.99,Marvel,97873.0,488386.27,488.39K
31521038,2021,Planet-Sized X-Men,4.99,Marvel,95693.0,477508.07,477.51K
31521039,2021,X-Men,3.99,Marvel,95422.0,380733.78,380.73K
31521040,2021,X-Men,3.99,Marvel,90958.0,362922.42000000004,362.92K
31521041,2021,Death of Doctor Strange,4.99,Marvel,89492.0,446565.08,446.57K
31521042,2021,Star Wars High Republic,3.99,Marvel,88986.0,355054.14,355.05K
31521043,2021,Kang The Conqueror,4.99,Marvel,88820.0,443211.80000000005,443.21K
31521044,2021,Black Panther,5.99,Marvel,87980.0,527000.2000000001,527.00K
31521045,2021,Star Wars War Bounty Hunters Jabba Hutt,4.99,Marvel,87674.0,437493.26,437.49K
31521046,2021,Silk,3.99,Marvel,87133.0,347660.67000000004,347.66K
31521047,2021,Thor,3.99,Marvel,86278.0,344249.22000000003,344.25K
31521048,2021,Ultimate Comics Fallout,3.99,Marvel,85594.0,341520.06,341.52K
31521049,2021,Daredevil,3.99,Marvel,85540.0,341304.60000000003,341.30K
31521050,2021,Star Wars War Bounty Hunters,3.99,Marvel,85525.0,341244.75,341.24K
31521051,2021,Moon Knight,3.99,Marvel,84161.0,335802.39,335.80K
31521052,2021,Star Wars War Bounty Hunters,3.99,Marvel,83318.0,332438.82,332.44K
31521053,2021,Amazing Spider-Man,3.99,Marvel,82438.0,328927.62,328.93K
31521054,2021,X-Men Legends,4.99,Marvel,82429.0,411320.71,411.32K
31521055,2021,X-Men,3.99,Marvel,80619.0,321669.81,321.67K
31521056,2021,Beta Ray Bill,4.99,Marvel,80577.0,402079.23000000004,402.08K
31521057,2021,Star Wars High Republic,3.99,Marvel,79966.0,319064.34,319.06K
31521058,2021,Wolverine,3.99,Marvel,79361.0,316650.39,316.65K
31521059,2021,King In Black Return of Valkyries,3.99,Marvel,79086.0,315553.14,315.55K
31521060,2021,Amazing Spider-Man,3.99,Marvel,78846.0,314595.54000000004,314.60K
31521061,2021,Amazing Spider-Man,4.99,Marvel,78812.0,393271.88,393.27K
31521062,2021,Avengers,3.99,Marvel,77723.0,310114.77,310.11K
31521063,2021,X-Men,3.99,Marvel,77450.0,309025.5,309.03K
31521064,2021,Way of X,4.99,Marvel,75372.0,376106.28,376.11K
31521065,2021,Miles Morales Spider-Man,4.99,Marvel,75179.0,375143.21,375.14K
31521066,2021,Thor,3.99,Marvel,74912.0,298898.88,298.90K
31521067,2021,Amazing Spider-Man,3.99,Marvel,74684.0,297989.16000000003,297.99K
31521068,2021,Star Wars War Bounty Hunters,3.99,Marvel,73877.0,294769.23000000004,294.77K
31521069,2021,Thor,3.99,Marvel,73337.0,292614.63,292.61K
31521070,2021,X-Men,3.99,Marvel,73169.0,291944.31,291.94K
31521071,2021,Demon Days Cursed Web,4.99,Marvel,72705.0,362797.95,362.80K
31521072,2021,Amazing Spider-Man,3.99,Marvel,72371.0,288760.29000000004,288.76K
31521073,2021,Star Wars High Republic,3.99,Marvel,72304.0,288492.96,288.49K
31521074,2021,Alien,3.99,Marvel,72169.0,287954.31,287.95K
