Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
3151900,2019,X-Men,4.99,Marvel,269153.0,1343073.47,1.34M
3151901,2019,Black Cat,4.99,Marvel,261751.0,1306137.49,1.31M
3151902,2019,Absolute Carnage,7.99,Marvel,242402.0,1936791.98,1.94M
3151903,2019,Marvel Comics,9.99,Marvel,216038.0,2158219.62,2.16M
3151904,2019,House of X,5.99,Marvel,212113.0,1270556.87,1.27M
3151905,2019,Powers of X,5.99,Marvel,198060.0,1186379.4000000001,1.19M
3151906,2019,War of Realms,5.99,Marvel,193906.0,1161496.94,1.16M
3151907,2019,Symbiote Spider-Man,4.99,Marvel,183110.0,913718.9,913.72K
3151908,2019,Spider-Man,4.99,Marvel,174186.0,869188.14,869.19K
3151909,2019,Powers of X,5.99,Marvel,160613.0,962071.87,962.07K
31519010,2019,House of X,4.99,Marvel,160085.0,798824.15,798.82K
31519011,2019,Powers of X,4.99,Marvel,143772.0,717422.28,717.42K
31519012,2019,House of X,4.99,Marvel,142622.0,711683.78,711.68K
31519013,2019,Silver Surfer Black,3.99,Marvel,141131.0,563112.6900000001,563.11K
31519014,2019,New Mutants,4.99,Marvel,140762.0,702402.38,702.40K
31519015,2019,Powers of X,4.99,Marvel,136110.0,679188.9,679.19K
31519016,2019,House of X,4.99,Marvel,131666.0,657013.3400000001,657.01K
31519017,2019,Captain Marvel,4.99,Marvel,129311.0,645261.89,645.26K
31519018,2019,House of X,4.99,Marvel,127784.0,637642.16,637.64K
31519019,2019,House of X,4.99,Marvel,123986.0,618690.14,618.69K
31519020,2019,Savage Avengers,4.99,Marvel,122328.0,610416.72,610.42K
31519021,2019,Powers of X,4.99,Marvel,122188.0,609718.12,609.72K
31519022,2019,X-Men,3.99,Marvel,117969.0,470696.31,470.70K
31519023,2019,Amazing Spider-Man,7.99,Marvel,117168.0,936172.3200000001,936.17K
31519024,2019,Guardians of the Galaxy,4.99,Marvel,117053.0,584094.47,584.09K
31519025,2019,Powers of X,4.99,Marvel,116560.0,581634.4,581.63K
31519026,2019,Amazing Mary Jane,3.99,Marvel,116476.0,464739.24000000005,464.74K
31519027,2019,Conan The Barbarian,4.99,Marvel,110805.0,552916.9500000001,552.92K
31519028,2019,X-Force,4.99,Marvel,108497.0,541400.03,541.40K
31519029,2019,Absolute Carnage,4.99,Marvel,107349.0,535671.51,535.67K
31519030,2019,Star Wars Galaxys Edge,3.99,Marvel,107337.0,428274.63,428.27K
31519031,2019,X-Men,3.99,Marvel,105708.0,421774.92000000004,421.77K
31519032,2019,Absolute Carnage,4.99,Marvel,104341.0,520661.59,520.66K
31519033,2019,Absolute Carnage,4.99,Marvel,100213.0,500062.87,500.06K
31519034,2019,Absolute Carnage,4.99,Marvel,98728.0,492652.72000000003,492.65K
31519035,2019,Ghost Rider,4.99,Marvel,97019.0,484124.81,484.12K
31519036,2019,Immortal Hulk,3.99,Marvel,94884.0,378587.16000000003,378.59K
31519037,2019,Amazing Spider-Man,3.99,Marvel,93960.0,374900.4,374.90K
31519038,2019,Marauders,4.99,Marvel,92599.0,462069.01,462.07K
31519039,2019,Thanos,4.99,Marvel,92558.0,461864.42000000004,461.86K
31519040,2019,Amazing Spider-Man,3.99,Marvel,92515.0,369134.85000000003,369.13K
31519041,2019,Excalibur,4.99,Marvel,91912.0,458640.88,458.64K
31519042,2019,War of Realms New Agents of Atlas,3.99,Marvel,90651.0,361697.49,361.70K
31519043,2019,Immortal Hulk,3.99,Marvel,90619.0,361569.81,361.57K
31519044,2019,Immortal Hulk,3.99,Marvel,90527.0,361202.73000000004,361.20K
31519045,2019,Amazing Spider-Man,3.99,Marvel,90523.0,361186.77,361.19K
31519046,2019,Immortal Hulk,5.99,Marvel,89923.0,538638.77,538.64K
31519047,2019,Immortal Hulk,3.99,Marvel,89385.0,356646.15,356.65K
31519048,2019,Venom,3.99,Marvel,88586.0,353458.14,353.46K
31519049,2019,Venom,3.99,Marvel,87508.0,349156.92000000004,349.16K
31519050,2019,Black Cat,3.99,Marvel,85113.0,339600.87,339.60K
31519051,2019,Deadpool,4.99,Marvel,84433.0,421320.67000000004,421.32K
31519052,2019,Fallen Angels,4.99,Marvel,82665.0,412498.35000000003,412.50K
31519053,2019,War of Realms,4.99,Marvel,82501.0,411679.99,411.68K
