Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
315110175,2011,Ultimate Comics Spider-Man,3.99,Marvel,49600.0,197904.0,197.90K
315110176,2011,Ultimate Comics Spider-Man,3.99,Marvel,49500.0,197505.0,197.50K
315110177,2011,FF,2.99,Marvel,48900.0,146211.0,146.21K
315110178,2011,Ultimate Fallout,3.99,Marvel,48800.0,194712.0,194.71K
315110179,2011,Wolverine,3.99,Marvel,48700.0,194313.0,194.31K
315110180,2011,Ultimate Comics Spider-Man,3.99,Marvel,48300.0,192717.0,192.72K
315110181,2011,Secret Avengers,3.99,Marvel,48300.0,192717.0,192.72K
315110182,2011,Ultimate Comics Spider-Man,3.99,Marvel,48000.0,191520.0,191.52K
315110183,2011,Ultimate Fallout,3.99,Marvel,47800.0,190722.0,190.72K
315110184,2011,Captain America,3.99,Marvel,47800.0,190722.0,190.72K
315110185,2011,Punisher,3.99,Marvel,47700.0,190323.0,190.32K
315110186,2011,Ultimate Avengers Vs New Ultimates,3.99,Marvel,47700.0,190323.0,190.32K
315110187,2011,Wolverine,3.99,Marvel,47600.0,189924.0,189.92K
315110188,2011,Invincible Iron Man,3.99,Marvel,47600.0,189924.0,189.92K
315110189,2011,Ultimate Comics Spider-Man,3.99,Marvel,47400.0,189126.0,189.13K
315110190,2011,Wolverine,3.99,Marvel,47400.0,189126.0,189.13K
315110191,2011,Mighty Thor,3.99,Marvel,47400.0,189126.0,189.13K
315110192,2011,Ultimate Comics Spider-Man,3.99,Marvel,47400.0,189126.0,189.13K
315110193,2011,Alpha Flight,3.99,Marvel,47300.0,188727.0,188.73K
315110194,2011,Captain America,3.99,Marvel,47300.0,188727.0,188.73K
315110195,2011,Journey Into Mystery,3.99,Marvel,47300.0,188727.0,188.73K
315110196,2011,Secret Avengers,3.99,Marvel,47200.0,188328.0,188.33K
315110197,2011,Secret Avengers,2.99,Marvel,47200.0,141128.0,141.13K
315110198,2011,Ultimate Comics Ultimates,3.99,Marvel,47100.0,187929.0,187.93K
315110199,2011,Wolverine,3.99,Marvel,46900.0,187131.0,187.13K
315110200,2011,X-Men,3.99,Marvel,46900.0,187131.0,187.13K
315110201,2011,Ultimate Avengers Vs New Ultimates,3.99,Marvel,46900.0,187131.0,187.13K
315110202,2011,Captain America,4.99,Marvel,46700.0,233033.0,233.03K
315110203,2011,X-Men Legacy,2.99,Marvel,46600.0,139334.0,139.33K
315110204,2011,Venom,2.99,Marvel,46500.0,139035.0,139.03K
315110205,2011,Incredible Hulk,3.99,Marvel,46400.0,185136.0,185.14K
315110206,2011,Captain America,3.99,Marvel,46200.0,184338.0,184.34K
315110207,2011,Ultimate Comics X-Men,3.99,Marvel,46200.0,184338.0,184.34K
315110208,2011,Mighty Thor,3.99,Marvel,46200.0,184338.0,184.34K
315110209,2011,Daredevil,2.99,Marvel,46100.0,137839.0,137.84K
