Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
3151600,2016,Civil War II,5.99,Marvel,391526.0,2345240.74,2.35M
3151601,2016,Champions,4.99,Marvel,334937.0,1671335.6300000001,1.67M
3151602,2016,Black Panther,4.99,Marvel,286755.0,1430907.45,1.43M
3151603,2016,Civil War II,4.99,Marvel,190028.0,948239.7200000001,948.24K
3151604,2016,Civil War II,4.99,Marvel,185949.0,927885.51,927.89K
3151605,2016,Amazing Spider-Man,3.99,Marvel,185342.0,739514.5800000001,739.51K
3151606,2016,Spider-Man Deadpool,3.99,Marvel,181091.0,722553.0900000001,722.55K
3151607,2016,Star Wars Poe Dameron,4.99,Marvel,175322.0,874856.78,874.86K
3151608,2016,IVX,5.99,Marvel,167703.0,1004540.9700000001,1.00M
3151609,2016,Star Wars Han Solo,3.99,Marvel,159481.0,636329.1900000001,636.33K
31516010,2016,Civil War II,4.99,Marvel,155420.0,775545.8,775.55K
31516011,2016,Doctor Strange Sorcerers Supreme,3.99,Marvel,149710.0,597342.9,597.34K
31516012,2016,Secret Wars,4.99,Marvel,149028.0,743649.7200000001,743.65K
31516013,2016,Captain America Steve Rogers,4.99,Marvel,140222.0,699707.78,699.71K
31516014,2016,Civil War II,4.99,Marvel,126865.0,633056.35,633.06K
31516015,2016,Star Wars Special C-3PO,4.99,Marvel,120841.0,602996.5900000001,603.00K
31516016,2016,Civil War II,4.99,Marvel,120208.0,599837.92,599.84K
31516017,2016,Civil War II,4.99,Marvel,118625.0,591938.75,591.94K
31516018,2016,Star Wars,3.99,Marvel,118471.0,472699.29000000004,472.70K
31516019,2016,Civil War II,4.99,Marvel,116447.0,581070.53,581.07K
31516020,2016,Darth Vader,5.99,Marvel,111381.0,667172.1900000001,667.17K
31516021,2016,Punisher,3.99,Marvel,110726.0,441796.74000000005,441.80K
31516022,2016,Star Wars,3.99,Marvel,110407.0,440523.93000000005,440.52K
31516023,2016,Star Wars,3.99,Marvel,107858.0,430353.42000000004,430.35K
31516024,2016,Star Wars,3.99,Marvel,107058.0,427161.42000000004,427.16K
31516025,2016,Civil War II,4.99,Marvel,105658.0,527233.42,527.23K
31516026,2016,Star Wars,3.99,Marvel,104563.0,417206.37,417.21K
31516027,2016,Spider-Man,3.99,Marvel,104425.0,416655.75,416.66K
31516028,2016,Old Man Logan,4.99,Marvel,104362.0,520766.38,520.77K
31516029,2016,Obi-Wan and Anakin,3.99,Marvel,102861.0,410415.39,410.42K
31516030,2016,Black Panther,3.99,Marvel,102366.0,408440.34,408.44K
31516031,2016,Gwenpool,4.99,Marvel,100852.0,503251.48000000004,503.25K
31516032,2016,Star Wars Doctor Aphra,4.99,Marvel,99067.0,494344.33,494.34K
31516033,2016,Star Wars,3.99,Marvel,98880.0,394531.2,394.53K
31516034,2016,Darth Vader,3.99,Marvel,98405.0,392635.95,392.64K
31516035,2016,Invincible Iron Man,3.99,Marvel,97713.0,389874.87,389.87K
31516036,2016,Amazing Spider-Man Renew Your Vows,4.99,Marvel,96111.0,479593.89,479.59K
31516037,2016,Star Wars,3.99,Marvel,96047.0,383227.53,383.23K
31516038,2016,Star Wars,3.99,Marvel,95156.0,379672.44,379.67K
31516039,2016,Amazing Spider-Man,3.99,Marvel,93582.0,373392.18,373.39K
31516040,2016,Uncanny X-Men,3.99,Marvel,93252.0,372075.48000000004,372.08K
31516041,2016,Star Wars,3.99,Marvel,90863.0,362543.37,362.54K
31516042,2016,Clone Conspiracy,4.99,Marvel,90285.0,450522.15,450.52K
31516043,2016,Deadpool Mercs For Money,3.99,Marvel,90186.0,359842.14,359.84K
31516044,2016,Venom,3.99,Marvel,90138.0,359650.62,359.65K
31516045,2016,Hulk,3.99,Marvel,89810.0,358341.9,358.34K
31516046,2016,Deadpool,9.99,Marvel,88264.0,881757.36,881.76K
31516047,2016,Amazing Spider-Man,3.99,Marvel,88164.0,351774.36000000004,351.77K
31516048,2016,Darth Vader,4.99,Marvel,86641.0,432338.59,432.34K
31516049,2016,Star Wars,3.99,Marvel,85126.0,339652.74,339.65K
31516050,2016,IVX,4.99,Marvel,84181.0,420063.19,420.06K
31516051,2016,Black Panther,3.99,Marvel,83756.0,334186.44,334.19K
31516052,2016,Star Wars Han Solo,3.99,Marvel,83738.0,334114.62,334.11K
31516053,2016,Star Wars,3.99,Marvel,82570.0,329454.30000000005,329.45K
31516054,2016,Avengers,4.99,Marvel,81885.0,408606.15,408.61K
31516055,2016,Invincible Iron Man,3.99,Marvel,81271.0,324271.29000000004,324.27K
31516056,2016,Darth Vader,3.99,Marvel,81147.0,323776.53,323.78K
31516057,2016,Spider-Man Deadpool,3.99,Marvel,80512.0,321242.88,321.24K
31516058,2016,Darth Vader,3.99,Marvel,80269.0,320273.31,320.27K
31516059,2016,Star Wars Force Awakens Adaptation,4.99,Marvel,79626.0,397333.74,397.33K
31516060,2016,Power Man and Iron Fist,3.99,Marvel,79069.0,315485.31,315.49K
31516061,2016,Darth Vader,3.99,Marvel,79065.0,315469.35000000003,315.47K
31516062,2016,Deadpool Back In Black,3.99,Marvel,78653.0,313825.47000000003,313.83K
31516063,2016,Deadpool,9.99,Marvel,78536.0,784574.64,784.57K
31516064,2016,Star Wars,3.99,Marvel,78160.0,311858.4,311.86K
31516065,2016,Darth Vader,3.99,Marvel,77942.0,310988.58,310.99K
31516066,2016,Darth Vader,3.99,Marvel,77610.0,309663.9,309.66K
31516067,2016,Darth Vader,3.99,Marvel,77430.0,308945.7,308.95K
31516068,2016,Darth Vader,3.99,Marvel,76965.0,307090.35000000003,307.09K
31516069,2016,Amazing Spider-Man,3.99,Marvel,76517.0,305302.83,305.30K
31516070,2016,Death of X,4.99,Marvel,75825.0,378366.75,378.37K
31516071,2016,Darth Vader,3.99,Marvel,75401.0,300849.99,300.85K
31516072,2016,Amazing Spider-Man,3.99,Marvel,75357.0,300674.43,300.67K
31516073,2016,Star Wars,4.99,Marvel,75234.0,375417.66000000003,375.42K
31516074,2016,Black Panther,3.99,Marvel,75037.0,299397.63,299.40K
31516075,2016,Amazing Spider-Man,3.99,Marvel,74963.0,299102.37,299.10K
31516076,2016,Captain America Steve Rogers,3.99,Marvel,74884.0,298787.16000000003,298.79K
31516077,2016,Amazing Spider-Man,3.99,Marvel,74869.0,298727.31,298.73K
31516078,2016,Jessica Jones,3.99,Marvel,74291.0,296421.09,296.42K
31516079,2016,Infamous Iron Man,3.99,Marvel,73735.0,294202.65,294.20K
31516080,2016,Amazing Spider-Man,3.99,Marvel,73643.0,293835.57,293.84K
31516081,2016,Spider-Man Deadpool,3.99,Marvel,73238.0,292219.62,292.22K
31516082,2016,Amazing Spider-Man,4.99,Marvel,73215.0,365342.85000000003,365.34K
31516083,2016,Doctor Strange,3.99,Marvel,72990.0,291230.10000000003,291.23K
31516084,2016,Deadpool,3.99,Marvel,72706.0,290096.94,290.10K
31516085,2016,Civil War II Amazing Spider-Man,3.99,Marvel,72556.0,289498.44,289.50K
31516086,2016,Black Panther,3.99,Marvel,72302.0,288484.98000000004,288.48K
31516087,2016,Amazing Spider-Man,3.99,Marvel,71599.0,285680.01,285.68K
31516088,2016,Amazing Spider-Man,3.99,Marvel,71159.0,283924.41000000003,283.92K
31516089,2016,Hawkeye,3.99,Marvel,70884.0,282827.16000000003,282.83K
31516090,2016,International Iron Man,3.99,Marvel,70824.0,282587.76,282.59K
31516091,2016,Unworthy Thor,3.99,Marvel,70424.0,280991.76,280.99K
31516092,2016,Spider-Man Deadpool,3.99,Marvel,69519.0,277380.81,277.38K
31516093,2016,Star Wars Poe Dameron,3.99,Marvel,68962.0,275158.38,275.16K
31516094,2016,Civil War II X-Men,3.99,Marvel,68470.0,273195.3,273.20K
31516095,2016,Avengers Standoff Assault on Pleasant Hill Alpha,4.99,Marvel,68004.0,339339.96,339.34K
31516096,2016,Deadpool,3.99,Marvel,67822.0,270609.78,270.61K
31516097,2016,Star Wars Han Solo,3.99,Marvel,67816.0,270585.84,270.59K
31516098,2016,Amazing Spider-Man,3.99,Marvel,67530.0,269444.7,269.44K
31516099,2016,Amazing Spider-Man,3.99,Marvel,67446.0,269109.54000000004,269.11K
315160100,2016,Fallen,4.99,Marvel,66578.0,332224.22000000003,332.22K
315160101,2016,Moon Knight,4.99,Marvel,66388.0,331276.12,331.28K
315160102,2016,Deadpool Vs Gambit,3.99,Marvel,65773.0,262434.27,262.43K
315160103,2016,A-Force,3.99,Marvel,65661.0,261987.39,261.99K
315160104,2016,Amazing Spider-Man,3.99,Marvel,65646.0,261927.54,261.93K
315160105,2016,Amazing Spider-Man,3.99,Marvel,65519.0,261420.81000000003,261.42K
315160106,2016,Spider-Man Deadpool,3.99,Marvel,65502.0,261352.98,261.35K
315160107,2016,Captain America Steve Rogers,3.99,Marvel,65455.0,261165.45,261.17K
315160108,2016,Deadpool and Mercs For Money,3.99,Marvel,65339.0,260702.61000000002,260.70K
315160109,2016,Gamora,3.99,Marvel,65032.0,259477.68000000002,259.48K
315160110,2016,Spider-Man Deadpool,3.99,Marvel,64931.0,259074.69,259.07K
315160111,2016,Spider-Man Deadpool,3.99,Marvel,64630.0,257873.7,257.87K
315160112,2016,Deadpool,3.99,Marvel,64509.0,257390.91,257.39K
315160113,2016,Avengers,3.99,Marvel,64289.0,256513.11000000002,256.51K
315160114,2016,Old Man Logan,3.99,Marvel,63932.0,255088.68000000002,255.09K
315160115,2016,Spider-Man Deadpool,3.99,Marvel,63821.0,254645.79,254.65K
315160116,2016,Amazing Spider-Man,3.99,Marvel,63359.0,252802.41,252.80K
315160117,2016,Guardians of the Galaxy,3.99,Marvel,63338.0,252718.62000000002,252.72K
315160118,2016,Deadpool,3.99,Marvel,63334.0,252702.66,252.70K
315160119,2016,Invincible Iron Man,3.99,Marvel,63234.0,252303.66,252.30K
315160120,2016,Amazing Spider-Man,3.99,Marvel,63052.0,251577.48,251.58K
315160121,2016,Star Wars Han Solo,3.99,Marvel,63030.0,251489.7,251.49K
315160122,2016,Deadpool,3.99,Marvel,62900.0,250971.0,250.97K
315160123,2016,Civil War II Choosing Sides,4.99,Marvel,62876.0,313751.24,313.75K
315160124,2016,Extraordinary X-Men,4.99,Marvel,62576.0,312254.24,312.25K
315160125,2016,Black Widow,3.99,Marvel,62375.0,248876.25,248.88K
315160126,2016,Accused,4.99,Marvel,62363.0,311191.37,311.19K
315160127,2016,Spider-Man Deadpool,3.99,Marvel,62060.0,247619.40000000002,247.62K
315160128,2016,Star Wars Doctor Aphra,3.99,Marvel,61417.0,245053.83000000002,245.05K
315160129,2016,Spider-Gwen,3.99,Marvel,60900.0,242991.0,242.99K
315160130,2016,Star Wars Poe Dameron,3.99,Marvel,60889.0,242947.11000000002,242.95K
315160131,2016,Black Panther,3.99,Marvel,60857.0,242819.43000000002,242.82K
315160132,2016,Spider-Man,3.99,Marvel,60627.0,241901.73,241.90K
315160133,2016,Mighty Thor,3.99,Marvel,60345.0,240776.55000000002,240.78K
315160134,2016,Spider-Man,3.99,Marvel,59789.0,238558.11000000002,238.56K
315160135,2016,Deadpool,3.99,Marvel,59645.0,237983.55000000002,237.98K
315160136,2016,Star Wars Annual,4.99,Marvel,59490.0,296855.10000000003,296.86K
315160137,2016,Death of X,3.99,Marvel,59427.0,237113.73,237.11K
315160138,2016,Rocket Raccoon,3.99,Marvel,59305.0,236626.95,236.63K
315160139,2016,Old Man Logan,3.99,Marvel,59174.0,236104.26,236.10K
315160140,2016,Rocket Raccoon and Groot,3.99,Marvel,59028.0,235521.72,235.52K
315160141,2016,Deadpool,3.99,Marvel,59027.0,235517.73,235.52K
315160142,2016,Deadpool,3.99,Marvel,59006.0,235433.94,235.43K
315160143,2016,Clone Conspiracy,3.99,Marvel,58921.0,235094.79,235.09K
315160144,2016,Old Man Logan,3.99,Marvel,58870.0,234891.30000000002,234.89K
