Character_ID,Date,Character_Name,Total
0,2011,Black Panther,158470.0
1,2011,Captain America,3836450.0
2,2011,Daredevil,1506301.0
3,2011,Deadpool,1865057.0
4,2011,Hulk,4131644.0
5,2011,Iron Man,2466094.0
6,2011,Onslaught,115311.0
7,2011,Spider-Man,11361246.0
8,2011,Thanos,106533.0
9,2011,Thor,2579229.0
10,2011,Wolverine,5262969.0
11,2011,X-23,580957.0
12,2011,X-Men,15250416.0
13,2011,Avengers,11840547.0
14,2011,Ghost Rider,319374.0
15,2011,Venom,1343526.0
16,2011,Fantastic Four,1625055.0
17,2011,Punisher,553608.0
