Character_ID,Date,Character_Name,Total
0,2016,Black Panther,4032483.250000001
1,2016,Black Widow,509906.04
2,2016,Cable,376680.13
3,2016,Captain America,3347386.1799999997
4,2016,Daredevil,2856621.3
5,2016,Deadpool,14167051.72
6,2016,Doctor Strange,3880017.0600000005
7,2016,Gambit,928225.62
8,2016,Hulk,1035588.54
9,2016,Iron Man,4169980.9200000004
10,2016,Loki,117712.98000000001
11,2016,Spider-Man,14323637.53
12,2016,Thanos,358920.45
13,2016,Thor,2801183.49
14,2016,Vision,138879.93
15,2016,Wolverine,2134559.42
16,2016,X-Men,9636013.860000003
17,2016,Avengers,8786069.8
18,2016,Ghost Rider,437148.36
19,2016,Venom,511442.19
20,2016,Inhumans,788539.7100000001
21,2016,Guardians of the Galaxy,519286.5300000001
22,2016,Logan,3408883.99
23,2016,Punisher,2439694.5600000005
