Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
315080276,2008,Young X-Men,2.99,Marvel,71579.0,214021.21000000002,214.02K
315080277,2008,Cable,2.99,Marvel,65555.0,196009.45,196.01K
315080278,2008,X-Men: Divided We Stand,3.99,Marvel,65327.0,260654.73,260.65K
315080279,2008,Fantastic Four,2.99,Marvel,65000.0,194350.0,194.35K
315080280,2008,Wolverine,2.99,Marvel,64858.0,193925.42,193.93K
315080281,2008,Cable,2.99,Marvel,59865.0,178996.35,179.00K
315080282,2008,Ultimate Spider-Man,2.99,Marvel,56622.0,169299.78,169.30K
315080283,2008,Logan,3.99,Marvel,56102.0,223846.98,223.85K
315080284,2008,Avengers Initiative,2.99,Marvel,52866.0,158069.34000000003,158.07K
315080285,2008,Avengers Initiative,2.99,Marvel,52333.0,156475.67,156.48K
315080286,2008,X-Factor,2.99,Marvel,51437.0,153796.63,153.80K
315080287,2008,Wolverine Origins,2.99,Marvel,49289.0,147374.11000000002,147.37K
315080288,2008,Ultimate X-Men,2.99,Marvel,49097.0,146800.03,146.80K
315080289,2008,Kick Ass,2.99,Marvel,45654.0,136505.46000000002,136.51K
315080290,2008,Incredible Hercules,2.99,Marvel,44566.0,133252.34,133.25K
315080291,2008,Thor Ages of Thunder,3.99,Marvel,43428.0,173277.72,173.28K
315080292,2008,Ultimate Human,2.99,Marvel,43414.0,129807.86000000002,129.81K
315080293,2008,Ms Marvel,2.99,Marvel,42269.0,126384.31000000001,126.38K
315080294,2008,Captain Marvel,2.99,Marvel,38663.0,115602.37000000001,115.60K
315080295,2008,Ultimate Fantastic Four,2.99,Marvel,37454.0,111987.46,111.99K
315080296,2008,Iron Man,3.99,Marvel,35747.0,142630.53,142.63K
315080297,2008,Young Avengers Presents,2.99,Marvel,31977.0,95611.23000000001,95.61K
315080298,2008,Immortal Iron Fist,3.99,Marvel,30875.0,123191.25,123.19K
315080299,2008,Punisher,2.99,Marvel,30789.0,92059.11,92.06K
315080300,2008,Young Avengers Presents,2.99,Marvel,30299.0,90594.01000000001,90.59K
315080301,2008,Daredevil: Blood of Tarantula,3.99,Marvel,30299.0,120893.01000000001,120.89K
315080302,2008,Annihilation Conquest,3.99,Marvel,29872.0,119189.28000000001,119.19K
315080303,2008,Twelve,2.99,Marvel,29723.0,88871.77,88.87K
315080304,2008,Punisher War Journal,2.99,Marvel,29559.0,88381.41,88.38K
315080305,2008,New Exiles,2.99,Marvel,29225.0,87382.75,87.38K
315080306,2008,New Exiles,2.99,Marvel,28499.0,85212.01000000001,85.21K
315080307,2008,Hulk Vs. Hercules: When Titans Collide,3.99,Marvel,28407.0,113343.93000000001,113.34K
315080308,2008,Nova,2.99,Marvel,28179.0,84255.21,84.26K
315080309,2008,Moon Knight,2.99,Marvel,27802.0,83127.98000000001,83.13K
315080310,2008,Iron Man Legacy of Doom,2.99,Marvel,27297.0,81618.03,81.62K
315080311,2008,Ghost Rider,2.99,Marvel,25861.0,77324.39,77.32K
315080312,2008,Last Defenders,2.99,Marvel,25725.0,76917.75,76.92K
315080313,2008,Wolverine First Class,2.99,Marvel,25605.0,76558.95000000001,76.56K
315080314,2008,World War Hulk Aftersmash: Warbound,2.99,Marvel,24531.0,73347.69,73.35K
315080315,2008,New Warriors,2.99,Marvel,22632.0,67669.68000000001,67.67K
315080316,2008,Anita Blake Vampire Hunter: Guilty Pleasures,2.99,Marvel,21458.0,64159.420000000006,64.16K
315080317,2008,She-Hulk 2,2.99,Marvel,20839.0,62308.61000000001,62.31K
315080318,2008,Powers Annual 2008,4.95,Marvel,17838.0,88298.1,88.30K
315080319,2008,Order,2.99,Marvel,17297.0,51718.030000000006,51.72K
315080320,2008,Amazing Spider-Girl,2.99,Marvel,15967.0,47741.33,47.74K
315080321,2008,Criminal 2,3.5,Marvel,15882.0,55587.0,55.59K
315080322,2008,X-Men First Class Vol. 2,2.99,Marvel,14893.0,44530.07,44.53K
315080323,2008,War Is Hell First Flight: Phantom Eagle Max,3.99,Marvel,13990.0,55820.100000000006,55.82K
