Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
0,2021,Venom,9.99,Marvel,299979.0,2996790.21
1,2021,Alien,4.99,Marvel,264297.0,1318842.03
2,2021,Moon Knight,4.99,Marvel,254223.0,1268572.77
3,2021,X-Men,4.99,Marvel,249409.0,1244550.9100000001
4,2021,Star Wars War Bounty Hunters Alpha,3.99,Marvel,236827.0,944939.7300000001
5,2021,Star Wars High Republic,3.99,Marvel,218338.0,871168.62
6,2021,Carnage Black White and Blood,4.99,Marvel,205199.0,1023943.01
7,2021,Eternals,4.99,Marvel,197707.0,986557.93
8,2021,Amazing Spider-Man,3.99,Marvel,196528.0,784146.7200000001
9,2021,Star Wars War Bounty Hunters,4.99,Marvel,190555.0,950869.4500000001
10,2021,Demon Days X-Men,4.99,Marvel,181923.0,907795.77
11,2021,Star Wars High Republic,3.99,Marvel,161093.0,642761.0700000001
12,2021,Non-Stop Spider-Man,4.99,Marvel,153948.0,768200.52
13,2021,Star Wars High Republic,3.99,Marvel,148196.0,591302.04
14,2021,Inferno,5.99,Marvel,139904.0,838024.9600000001
15,2021,Silk,3.99,Marvel,133035.0,530809.65
16,2021,Extreme Carnage Alpha,4.99,Marvel,132122.0,659288.78
17,2021,King In Black Gwenom Vs. Carnage,3.99,Marvel,127627.0,509231.73000000004
18,2021,Amazing Spider-Man,3.99,Marvel,127524.0,508820.76
19,2021,Miles Morales Spider-Man,4.99,Marvel,125304.0,625266.9600000001
20,2021,Sinister War,4.99,Marvel,124684.0,622173.16
21,2021,Amazing Spider-Man,9.99,Marvel,124352.0,1242276.48
22,2021,Heroes Reborn,5.99,Marvel,123638.0,740591.62
23,2021,King In Black,5.99,Marvel,121284.0,726491.16
24,2021,Venom,3.99,Marvel,120680.0,481513.2
25,2021,X-Men Trial of Magneto,4.99,Marvel,119657.0,597088.43
26,2021,Dark Ages,4.99,Marvel,117381.0,585731.1900000001
27,2021,Amazing Spider-Man,3.99,Marvel,116712.0,465680.88
28,2021,Star Wars High Republic,3.99,Marvel,114639.0,457409.61000000004
29,2021,Demon Days Mariko,4.99,Marvel,113537.0,566549.63
30,2021,Venom,3.99,Marvel,110774.0,441988.26
31,2021,King In Black,4.99,Marvel,110376.0,550776.24
32,2021,Children of Atom,4.99,Marvel,107301.0,535431.99
33,2021,Venom,3.99,Marvel,102340.0,408336.60000000003
34,2021,Moon Knight,3.99,Marvel,101698.0,405775.02
35,2021,Star Wars High Republic,3.99,Marvel,101372.0,404474.28
36,2021,King In Black,4.99,Marvel,100618.0,502083.82
37,2021,Spider-Man Spiders Shadow,4.99,Marvel,97873.0,488386.27
38,2021,Planet-Sized X-Men,4.99,Marvel,95693.0,477508.07
39,2021,X-Men,3.99,Marvel,95422.0,380733.78
40,2021,X-Men,3.99,Marvel,90958.0,362922.42000000004
41,2021,Death of Doctor Strange,4.99,Marvel,89492.0,446565.08
42,2021,Star Wars High Republic,3.99,Marvel,88986.0,355054.14
43,2021,Kang The Conqueror,4.99,Marvel,88820.0,443211.80000000005
44,2021,Black Panther,5.99,Marvel,87980.0,527000.2000000001
45,2021,Star Wars War Bounty Hunters Jabba Hutt,4.99,Marvel,87674.0,437493.26
46,2021,Silk,3.99,Marvel,87133.0,347660.67000000004
47,2021,Thor,3.99,Marvel,86278.0,344249.22000000003
48,2021,Ultimate Comics Fallout,3.99,Marvel,85594.0,341520.06
49,2021,Daredevil,3.99,Marvel,85540.0,341304.60000000003
50,2021,Star Wars War Bounty Hunters,3.99,Marvel,85525.0,341244.75
51,2021,Moon Knight,3.99,Marvel,84161.0,335802.39
52,2021,Star Wars War Bounty Hunters,3.99,Marvel,83318.0,332438.82
53,2021,Amazing Spider-Man,3.99,Marvel,82438.0,328927.62
54,2021,X-Men Legends,4.99,Marvel,82429.0,411320.71
55,2021,X-Men,3.99,Marvel,80619.0,321669.81
56,2021,Beta Ray Bill,4.99,Marvel,80577.0,402079.23000000004
57,2021,Star Wars High Republic,3.99,Marvel,79966.0,319064.34
58,2021,Wolverine,3.99,Marvel,79361.0,316650.39
59,2021,King In Black Return of Valkyries,3.99,Marvel,79086.0,315553.14
60,2021,Amazing Spider-Man,3.99,Marvel,78846.0,314595.54000000004
61,2021,Amazing Spider-Man,4.99,Marvel,78812.0,393271.88
62,2021,Avengers,3.99,Marvel,77723.0,310114.77
63,2021,X-Men,3.99,Marvel,77450.0,309025.5
64,2021,Way of X,4.99,Marvel,75372.0,376106.28
65,2021,Miles Morales Spider-Man,4.99,Marvel,75179.0,375143.21
66,2021,Thor,3.99,Marvel,74912.0,298898.88
67,2021,Amazing Spider-Man,3.99,Marvel,74684.0,297989.16000000003
