Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
5,1,Venom,35,$9.99,06/16/21,Marvel,"299,979"
6,8,Alien,1,$4.99,03/24/21,Marvel,"264,297"
7,6,Moon Knight,1,$4.99,07/21/21,Marvel,"254,223"
8,7,X-Men,1,$4.99,07/07/21,Marvel,"249,409"
9,10,Star Wars War Bounty Hunters Alpha,1,$3.99,05/05/21,Marvel,"236,827"
10,20,Star Wars High Republic,1,$3.99,01/06/21,Marvel,"218,338"
11,14,Carnage Black White and Blood,1,$4.99,03/24/21,Marvel,"205,199"
12,19,Eternals,1,$4.99,01/06/21,Marvel,"197,707"
13,24,Amazing Spider-Man,55,$3.99,12/30/20,Marvel,"196,528"
15,15,Star Wars War Bounty Hunters,1,$4.99,06/02/21,Marvel,"190,555"
16,16,Demon Days X-Men,1,$4.99,03/03/21,Marvel,"181,923"
17,30,Star Wars High Republic,3,$3.99,03/03/21,Marvel,"161,093"
18,22,Non-Stop Spider-Man,1,$4.99,03/10/21,Marvel,"153,948"
19,33,Star Wars High Republic,2,$3.99,02/03/21,Marvel,"148,196"
21,21,Inferno,1,$5.99,09/29/21,Marvel,"139,904"
23,37,Silk,1,$3.99,03/31/21,Marvel,"133,035"
25,29,Extreme Carnage Alpha,1,$4.99,07/07/21,Marvel,"132,122"
28,41,King In Black Gwenom Vs. Carnage,1,$3.99,01/13/21,Marvel,"127,627"
29,49,Amazing Spider-Man,62,$3.99,03/24/21,Marvel,"127,524"
30,23,Miles Morales Spider-Man,25,$4.99,04/28/21,Marvel,"125,304"
31,32,Sinister War,1,$4.99,07/14/21,Marvel,"124,684"
32,11,Amazing Spider-Man,74,$9.99,09/29/21,Marvel,"124,352"
33,28,Heroes Reborn,1,$5.99,05/05/21,Marvel,"123,638"
34,27,King In Black,5,$5.99,04/07/21,Marvel,"121,284"
35,39,Venom,32,$3.99,01/06/21,Marvel,"120,680"
36,34,X-Men Trial of Magneto,1,$4.99,08/18/21,Marvel,"119,657"
38,26,Dark Ages,1,$4.99,09/01/21,Marvel,"117,381"
39,54,Amazing Spider-Man,61,$3.99,03/10/21,Marvel,"116,712"
40,45,Star Wars High Republic,4,$3.99,04/07/21,Marvel,"114,639"
42,36,Demon Days Mariko,1,$4.99,06/16/21,Marvel,"113,537"
44,51,Venom,34,$3.99,04/07/21,Marvel,"110,774"
45,40,King In Black,3,$4.99,01/20/21,Marvel,"110,376"
47,38,Children of Atom,1,$4.99,03/10/21,Marvel,"107,301"
49,57,Venom,33,$3.99,02/03/21,Marvel,"102,340"
50,60,Moon Knight,2,$3.99,08/18/21,Marvel,"101,698"
52,71,Star Wars High Republic,6,$3.99,06/30/21,Marvel,"101,372"
53,48,King In Black,4,$4.99,02/17/21,Marvel,"100,618"
55,42,Spider-Man Spiders Shadow,1,$4.99,04/14/21,Marvel,"97,873"
56,56,Planet-Sized X-Men,1,$4.99,06/16/21,Marvel,"95,693"
57,70,X-Men,2,$3.99,08/04/21,Marvel,"95,422"
59,85,X-Men,21,$3.99,06/09/21,Marvel,"90,958"
61,64,Death of Doctor Strange,1,$4.99,09/22/21,Marvel,"89,492"
62,83,Star Wars High Republic,7,$3.99,07/28/21,Marvel,"88,986"
63,65,Kang The Conqueror,1,$4.99,08/18/21,Marvel,"88,820"
64,47,Black Panther,25,$5.99,05/26/21,Marvel,"87,980"
65,68,Star Wars War Bounty Hunters Jabba Hutt,1,$4.99,07/21/21,Marvel,"87,674"
67,73,Silk,2,$3.99,04/28/21,Marvel,"87,133"
68,88,Thor,11,$3.99,01/06/21,Marvel,"86,278"
72,55,Ultimate Comics Fallout,4 Facs. Ed.,$3.99,09/01/21,Marvel,"85,594"
73,78,Daredevil,25,$3.99,12/02/20,Marvel,"85,540"
74,81,Star Wars War Bounty Hunters,3,$3.99,08/18/21,Marvel,"85,525"
76,106,Moon Knight,3,$3.99,09/22/21,Marvel,"84,161"
77,91,Star Wars War Bounty Hunters,2,$3.99,07/14/21,Marvel,"83,318"
78,99,Amazing Spider-Man,72,$3.99,08/25/21,Marvel,"82,438"
79,63,X-Men Legends,1,$4.99,02/17/21,Marvel,"82,429"
81,105,X-Men,18,$3.99,02/24/21,Marvel,"80,619"
82,69,Beta Ray Bill,1,$4.99,03/31/21,Marvel,"80,577"
83,87,Star Wars High Republic,5,$3.99,05/12/21,Marvel,"79,966"
84,98,Wolverine,13,$3.99,06/23/21,Marvel,"79,361"
85,103,King In Black Return of Valkyries,1,$3.99,01/06/21,Marvel,"79,086"
86,117,Amazing Spider-Man,71,$3.99,07/28/21,Marvel,"78,846"
87,75,Amazing Spider-Man,56,$4.99,01/06/21,Marvel,"78,812"
89,126,Avengers,43,$3.99,03/03/21,Marvel,"77,723"
90,101,X-Men,19,$3.99,03/31/21,Marvel,"77,450"
95,79,Way of X,1,$4.99,04/21/21,Marvel,"75,372"
96,62,Miles Morales Spider-Man,30,$4.99,09/29/21,Marvel,"75,179"
97,110,Thor,12,$3.99,02/17/21,Marvel,"74,912"
98,136,Amazing Spider-Man,70,$3.99,07/07/21,Marvel,"74,684"
101,113,Star Wars War Bounty Hunters,4,$3.99,09/08/21,Marvel,"73,877"
102,122,Thor,16,$3.99,08/25/21,Marvel,"73,337"
104,112,X-Men,3,$3.99,09/22/21,Marvel,"73,169"
