Character_ID,Date,Character_Name,Total
0,2014,Black Widow,621079.41
1,2014,Captain America,3024614.5900000003
2,2014,Daredevil,2401757.99
3,2014,Deadpool,8830267.370000001
4,2014,Hulk,2508208.06
5,2014,Iron Man,1578954.72
6,2014,Iron Patriot,131845.56
7,2014,Loki,326466.14
8,2014,Magneto,1719091.5
9,2014,Nightcrawler,482598.48000000004
10,2014,Spider-Man,17241892.25
11,2014,Storm,195043.17
12,2014,Thanos,917137.5800000002
13,2014,Thor,2839549.2300000004
14,2014,Wolverine,10505376.620000001
15,2014,X-Men,17179591.6
16,2014,Avengers,14556380.730000002
17,2014,Ghost Rider,460920.81000000006
18,2014,Guardians of the Galaxy,164399.97
19,2014,Logan,1513813.67
20,2014,Fantastic Four,1261832.6500000001
21,2014,Punisher,507220.77
