Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
0,2016,Civil War II,5.99,Marvel,391526.0,2345240.74
1,2016,Champions,4.99,Marvel,334937.0,1671335.6300000001
2,2016,Black Panther,4.99,Marvel,286755.0,1430907.45
3,2016,Civil War II,4.99,Marvel,190028.0,948239.7200000001
4,2016,Civil War II,4.99,Marvel,185949.0,927885.51
5,2016,Amazing Spider-Man,3.99,Marvel,185342.0,739514.5800000001
6,2016,Spider-Man Deadpool,3.99,Marvel,181091.0,722553.0900000001
7,2016,Star Wars Poe Dameron,4.99,Marvel,175322.0,874856.78
8,2016,IVX,5.99,Marvel,167703.0,1004540.9700000001
9,2016,Star Wars Han Solo,3.99,Marvel,159481.0,636329.1900000001
10,2016,Civil War II,4.99,Marvel,155420.0,775545.8
11,2016,Doctor Strange Sorcerers Supreme,3.99,Marvel,149710.0,597342.9
12,2016,Secret Wars,4.99,Marvel,149028.0,743649.7200000001
13,2016,Captain America Steve Rogers,4.99,Marvel,140222.0,699707.78
14,2016,Civil War II,4.99,Marvel,126865.0,633056.35
15,2016,Star Wars Special C-3PO,4.99,Marvel,120841.0,602996.5900000001
16,2016,Civil War II,4.99,Marvel,120208.0,599837.92
17,2016,Civil War II,4.99,Marvel,118625.0,591938.75
18,2016,Star Wars,3.99,Marvel,118471.0,472699.29000000004
19,2016,Civil War II,4.99,Marvel,116447.0,581070.53
20,2016,Darth Vader,5.99,Marvel,111381.0,667172.1900000001
21,2016,Punisher,3.99,Marvel,110726.0,441796.74000000005
22,2016,Star Wars,3.99,Marvel,110407.0,440523.93000000005
23,2016,Star Wars,3.99,Marvel,107858.0,430353.42000000004
24,2016,Star Wars,3.99,Marvel,107058.0,427161.42000000004
25,2016,Civil War II,4.99,Marvel,105658.0,527233.42
26,2016,Star Wars,3.99,Marvel,104563.0,417206.37
27,2016,Spider-Man,3.99,Marvel,104425.0,416655.75
28,2016,Old Man Logan,4.99,Marvel,104362.0,520766.38
29,2016,Obi-Wan and Anakin,3.99,Marvel,102861.0,410415.39
30,2016,Black Panther,3.99,Marvel,102366.0,408440.34
31,2016,Gwenpool,4.99,Marvel,100852.0,503251.48000000004
32,2016,Star Wars Doctor Aphra,4.99,Marvel,99067.0,494344.33
33,2016,Star Wars,3.99,Marvel,98880.0,394531.2
34,2016,Darth Vader,3.99,Marvel,98405.0,392635.95
35,2016,Invincible Iron Man,3.99,Marvel,97713.0,389874.87
36,2016,Amazing Spider-Man Renew Your Vows,4.99,Marvel,96111.0,479593.89
37,2016,Star Wars,3.99,Marvel,96047.0,383227.53
38,2016,Star Wars,3.99,Marvel,95156.0,379672.44
39,2016,Amazing Spider-Man,3.99,Marvel,93582.0,373392.18
40,2016,Uncanny X-Men,3.99,Marvel,93252.0,372075.48000000004
41,2016,Star Wars,3.99,Marvel,90863.0,362543.37
42,2016,Clone Conspiracy,4.99,Marvel,90285.0,450522.15
43,2016,Deadpool Mercs For Money,3.99,Marvel,90186.0,359842.14
44,2016,Venom,3.99,Marvel,90138.0,359650.62
45,2016,Hulk,3.99,Marvel,89810.0,358341.9
46,2016,Deadpool,9.99,Marvel,88264.0,881757.36
47,2016,Amazing Spider-Man,3.99,Marvel,88164.0,351774.36000000004
48,2016,Darth Vader,4.99,Marvel,86641.0,432338.59
49,2016,Star Wars,3.99,Marvel,85126.0,339652.74
50,2016,IVX,4.99,Marvel,84181.0,420063.19
51,2016,Black Panther,3.99,Marvel,83756.0,334186.44
52,2016,Star Wars Han Solo,3.99,Marvel,83738.0,334114.62
53,2016,Star Wars,3.99,Marvel,82570.0,329454.30000000005
54,2016,Avengers,4.99,Marvel,81885.0,408606.15
55,2016,Invincible Iron Man,3.99,Marvel,81271.0,324271.29000000004
56,2016,Darth Vader,3.99,Marvel,81147.0,323776.53
57,2016,Spider-Man Deadpool,3.99,Marvel,80512.0,321242.88
58,2016,Darth Vader,3.99,Marvel,80269.0,320273.31
59,2016,Star Wars Force Awakens Adaptation,4.99,Marvel,79626.0,397333.74
60,2016,Power Man and Iron Fist,3.99,Marvel,79069.0,315485.31
61,2016,Darth Vader,3.99,Marvel,79065.0,315469.35000000003
62,2016,Deadpool Back In Black,3.99,Marvel,78653.0,313825.47000000003
63,2016,Deadpool,9.99,Marvel,78536.0,784574.64
64,2016,Star Wars,3.99,Marvel,78160.0,311858.4
65,2016,Darth Vader,3.99,Marvel,77942.0,310988.58
66,2016,Darth Vader,3.99,Marvel,77610.0,309663.9
67,2016,Darth Vader,3.99,Marvel,77430.0,308945.7
68,2016,Darth Vader,3.99,Marvel,76965.0,307090.35000000003
69,2016,Amazing Spider-Man,3.99,Marvel,76517.0,305302.83
70,2016,Death of X,4.99,Marvel,75825.0,378366.75
71,2016,Darth Vader,3.99,Marvel,75401.0,300849.99
72,2016,Amazing Spider-Man,3.99,Marvel,75357.0,300674.43
73,2016,Star Wars,4.99,Marvel,75234.0,375417.66000000003
74,2016,Black Panther,3.99,Marvel,75037.0,299397.63
75,2016,Amazing Spider-Man,3.99,Marvel,74963.0,299102.37
76,2016,Captain America Steve Rogers,3.99,Marvel,74884.0,298787.16000000003
77,2016,Amazing Spider-Man,3.99,Marvel,74869.0,298727.31
78,2016,Jessica Jones,3.99,Marvel,74291.0,296421.09
79,2016,Infamous Iron Man,3.99,Marvel,73735.0,294202.65
80,2016,Amazing Spider-Man,3.99,Marvel,73643.0,293835.57
81,2016,Spider-Man Deadpool,3.99,Marvel,73238.0,292219.62
82,2016,Amazing Spider-Man,4.99,Marvel,73215.0,365342.85000000003
83,2016,Doctor Strange,3.99,Marvel,72990.0,291230.10000000003
84,2016,Deadpool,3.99,Marvel,72706.0,290096.94
85,2016,Civil War II Amazing Spider-Man,3.99,Marvel,72556.0,289498.44
86,2016,Black Panther,3.99,Marvel,72302.0,288484.98000000004
87,2016,Amazing Spider-Man,3.99,Marvel,71599.0,285680.01
88,2016,Amazing Spider-Man,3.99,Marvel,71159.0,283924.41000000003
89,2016,Hawkeye,3.99,Marvel,70884.0,282827.16000000003
90,2016,International Iron Man,3.99,Marvel,70824.0,282587.76
91,2016,Unworthy Thor,3.99,Marvel,70424.0,280991.76
92,2016,Spider-Man Deadpool,3.99,Marvel,69519.0,277380.81
93,2016,Star Wars Poe Dameron,3.99,Marvel,68962.0,275158.38
94,2016,Civil War II X-Men,3.99,Marvel,68470.0,273195.3
95,2016,Avengers Standoff Assault on Pleasant Hill Alpha,4.99,Marvel,68004.0,339339.96
96,2016,Deadpool,3.99,Marvel,67822.0,270609.78
97,2016,Star Wars Han Solo,3.99,Marvel,67816.0,270585.84
98,2016,Amazing Spider-Man,3.99,Marvel,67530.0,269444.7
99,2016,Amazing Spider-Man,3.99,Marvel,67446.0,269109.54000000004
100,2016,Fallen,4.99,Marvel,66578.0,332224.22000000003
101,2016,Moon Knight,4.99,Marvel,66388.0,331276.12
102,2016,Deadpool Vs Gambit,3.99,Marvel,65773.0,262434.27
103,2016,A-Force,3.99,Marvel,65661.0,261987.39
104,2016,Amazing Spider-Man,3.99,Marvel,65646.0,261927.54
105,2016,Amazing Spider-Man,3.99,Marvel,65519.0,261420.81000000003
106,2016,Spider-Man Deadpool,3.99,Marvel,65502.0,261352.98
107,2016,Captain America Steve Rogers,3.99,Marvel,65455.0,261165.45
108,2016,Deadpool and Mercs For Money,3.99,Marvel,65339.0,260702.61000000002
109,2016,Gamora,3.99,Marvel,65032.0,259477.68000000002
110,2016,Spider-Man Deadpool,3.99,Marvel,64931.0,259074.69
111,2016,Spider-Man Deadpool,3.99,Marvel,64630.0,257873.7
112,2016,Deadpool,3.99,Marvel,64509.0,257390.91
113,2016,Avengers,3.99,Marvel,64289.0,256513.11000000002
114,2016,Old Man Logan,3.99,Marvel,63932.0,255088.68000000002
115,2016,Spider-Man Deadpool,3.99,Marvel,63821.0,254645.79
116,2016,Amazing Spider-Man,3.99,Marvel,63359.0,252802.41
117,2016,Guardians of the Galaxy,3.99,Marvel,63338.0,252718.62000000002
118,2016,Deadpool,3.99,Marvel,63334.0,252702.66
119,2016,Invincible Iron Man,3.99,Marvel,63234.0,252303.66
120,2016,Amazing Spider-Man,3.99,Marvel,63052.0,251577.48
121,2016,Star Wars Han Solo,3.99,Marvel,63030.0,251489.7
122,2016,Deadpool,3.99,Marvel,62900.0,250971.0
123,2016,Civil War II Choosing Sides,4.99,Marvel,62876.0,313751.24
124,2016,Extraordinary X-Men,4.99,Marvel,62576.0,312254.24
125,2016,Black Widow,3.99,Marvel,62375.0,248876.25
126,2016,Accused,4.99,Marvel,62363.0,311191.37
127,2016,Spider-Man Deadpool,3.99,Marvel,62060.0,247619.40000000002
128,2016,Star Wars Doctor Aphra,3.99,Marvel,61417.0,245053.83000000002
129,2016,Spider-Gwen,3.99,Marvel,60900.0,242991.0
130,2016,Star Wars Poe Dameron,3.99,Marvel,60889.0,242947.11000000002
131,2016,Black Panther,3.99,Marvel,60857.0,242819.43000000002
132,2016,Spider-Man,3.99,Marvel,60627.0,241901.73
133,2016,Mighty Thor,3.99,Marvel,60345.0,240776.55000000002
134,2016,Spider-Man,3.99,Marvel,59789.0,238558.11000000002
135,2016,Deadpool,3.99,Marvel,59645.0,237983.55000000002
136,2016,Star Wars Annual,4.99,Marvel,59490.0,296855.10000000003
137,2016,Death of X,3.99,Marvel,59427.0,237113.73
138,2016,Rocket Raccoon,3.99,Marvel,59305.0,236626.95
139,2016,Old Man Logan,3.99,Marvel,59174.0,236104.26
140,2016,Rocket Raccoon and Groot,3.99,Marvel,59028.0,235521.72
141,2016,Deadpool,3.99,Marvel,59027.0,235517.73
142,2016,Deadpool,3.99,Marvel,59006.0,235433.94
143,2016,Clone Conspiracy,3.99,Marvel,58921.0,235094.79
144,2016,Old Man Logan,3.99,Marvel,58870.0,234891.30000000002
145,2016,Old Man Logan,3.99,Marvel,58855.0,234831.45
146,2016,X-Men 92,3.99,Marvel,58804.0,234627.96000000002
147,2016,Star Wars Han Solo,3.99,Marvel,58762.0,234460.38
148,2016,Black Panther,3.99,Marvel,58746.0,234396.54
149,2016,Obi-Wan and Anakin,3.99,Marvel,58431.0,233139.69
150,2016,Nova,3.99,Marvel,58393.0,232988.07
151,2016,True Believers Deadpool,1.0,Marvel,58383.0,58383.0
152,2016,Invincible Iron Man,3.99,Marvel,57972.0,231308.28
153,2016,Ghost Rider,4.99,Marvel,57843.0,288636.57
154,2016,Deadpool,3.99,Marvel,57805.0,230641.95
155,2016,Deadpool,3.99,Marvel,57798.0,230614.02000000002
156,2016,Star Wars Poe Dameron,3.99,Marvel,57712.0,230270.88
157,2016,Deadpool,3.99,Marvel,57681.0,230147.19
158,2016,Silver Surfer,3.99,Marvel,57633.0,229955.67
159,2016,All New All Different Avengers,3.99,Marvel,57584.0,229760.16
160,2016,Avengers Standoff Welcome Pleasant Hill,4.99,Marvel,57559.0,287219.41000000003
161,2016,Uncanny X-Men,4.99,Marvel,57434.0,286595.66000000003
162,2016,All New All Different Avengers,3.99,Marvel,57114.0,227884.86000000002
163,2016,Black Panther World of Wakanda,4.99,Marvel,57073.0,284794.27
164,2016,Amazing Spider-Man,3.99,Marvel,56674.0,226129.26
165,2016,Mighty Thor,3.99,Marvel,56568.0,225706.32
166,2016,Clone Conspiracy,3.99,Marvel,56117.0,223906.83000000002
167,2016,Empress,3.99,Marvel,55829.0,222757.71000000002
168,2016,Uncanny X-Men,3.99,Marvel,55804.0,222657.96000000002
169,2016,Deadpool Last Days of Magic,4.99,Marvel,55679.0,277838.21
170,2016,Deadpool,3.99,Marvel,55577.0,221752.23
171,2016,Old Man Logan,3.99,Marvel,55311.0,220690.89
172,2016,Captain America Sam Wilson,5.99,Marvel,54881.0,328737.19
173,2016,Thanos,3.99,Marvel,54768.0,218524.32
174,2016,Mighty Thor,3.99,Marvel,54568.0,217726.32
175,2016,Doctor Strange,3.99,Marvel,53718.0,214334.82
176,2016,Obi-Wan and Anakin,3.99,Marvel,53636.0,214007.64
177,2016,Death of X,3.99,Marvel,53583.0,213796.17
178,2016,Mighty Captain Marvel,3.99,Marvel,53263.0,212519.37000000002
179,2016,Captain Marvel,3.99,Marvel,52972.0,211358.28
180,2016,Star-Lord,3.99,Marvel,52925.0,211170.75
181,2016,Old Man Logan,3.99,Marvel,52761.0,210516.39
182,2016,Spider-Man,3.99,Marvel,52731.0,210396.69
183,2016,All New All Different Avengers,3.99,Marvel,52631.0,209997.69
184,2016,Star Wars Poe Dameron,3.99,Marvel,52581.0,209798.19
185,2016,Mighty Thor,3.99,Marvel,52538.0,209626.62000000002
186,2016,Spider-Man Deadpool,3.99,Marvel,52468.0,209347.32
187,2016,Civil War II Amazing Spider-Man,3.99,Marvel,52458.0,209307.42
188,2016,Doctor Strange,4.99,Marvel,52440.0,261675.6
189,2016,Doctor Strange,3.99,Marvel,52388.0,209028.12000000002
190,2016,Deadpool Mercs For Money,3.99,Marvel,52331.0,208800.69
191,2016,All New All Different Avengers,3.99,Marvel,52296.0,208661.04
192,2016,Amazing Spider-Man Annual,4.99,Marvel,52184.0,260398.16
193,2016,Old Man Logan,3.99,Marvel,52175.0,208178.25
194,2016,Old Man Logan,3.99,Marvel,51926.0,207184.74000000002
195,2016,All New All Different Avengers,3.99,Marvel,51925.0,207180.75
196,2016,All New All Different Avengers,3.99,Marvel,51740.0,206442.6
197,2016,Deadpool Annual,4.99,Marvel,51609.0,257528.91
198,2016,All New X-Men,4.99,Marvel,51549.0,257229.51
199,2016,Deadpool,9.99,Marvel,51351.0,512996.49
200,2016,Extraordinary X-Men,3.99,Marvel,51322.0,204774.78
201,2016,Mighty Thor,3.99,Marvel,51300.0,204687.0
202,2016,Spider-Man Deadpool,3.99,Marvel,51278.0,204599.22
203,2016,Uncanny X-Men,3.99,Marvel,50936.0,203234.64
204,2016,Unworthy Thor,3.99,Marvel,50584.0,201830.16
205,2016,Invincible Iron Man,3.99,Marvel,50571.0,201778.29
206,2016,All New X-Men,3.99,Marvel,50557.0,201722.43000000002
207,2016,Captain America Steve Rogers,3.99,Marvel,50536.0,201638.64
208,2016,Obi-Wan and Anakin,3.99,Marvel,50486.0,201439.14
209,2016,Uncanny X-Men,3.99,Marvel,50382.0,201024.18000000002
210,2016,Death of X,3.99,Marvel,50329.0,200812.71000000002
211,2016,Star Wars Poe Dameron,3.99,Marvel,50275.0,200597.25
212,2016,Spider-Women Alpha,4.99,Marvel,50220.0,250597.80000000002
