Character_ID,Date,Character_Name,Total
0,2021,Black Panther,1175795.8800000004
1,2021,Black Widow,797640.9000000001
2,2021,Cable,740334.4299999999
3,2021,Captain America,1989043.7100000002
4,2021,Daredevil,2132739.68
5,2021,Deadpool,883259.87
6,2021,Doctor Strange,581546.78
7,2021,Hellion,1091352.78
8,2021,Hulk,3230742.07
9,2021,Iron Man,1317025.2700000003
10,2021,Juggernaut,97806.87000000001
11,2021,Kang,579466.31
12,2021,Loki,93122.61
13,2021,Magneto,1137854.3499999999
14,2021,Marauders,1397688.56
15,2021,Onslaught,193906.41
16,2021,Spider-Man,16575656.550000003
17,2021,Taskmaster,282184.77
18,2021,Thanos,220323.81
19,2021,Thor,2460226.39
20,2021,Wolverine,2561525.23
21,2021,X-Men,7648982.750000001
22,2021,Avengers,3710239.8200000003
23,2021,Ghost Rider,196316.58000000002
24,2021,Venom,4887723.18
25,2021,Guardians of the Galaxy,1386215.69
26,2021,Fantastic Four,2432901.02
