Character_ID,Date,Character_Name,Total
0,2015,Apocalypse,1149434.05
1,2015,Cable,285418.02
2,2015,Captain America,2377580.03
3,2015,Daredevil,1558395.27
4,2015,Deadpool,8403051.47
5,2015,Doctor Strange,1242014.5
6,2015,Hulk,2147792.85
7,2015,Iron Man,2733588.9000000004
8,2015,Korvac,139697.88
9,2015,Magneto,232549.16999999998
10,2015,Red Skull,133238.07
11,2015,Scarlet Witch,230761.65000000002
12,2015,Spider-Man,11593030.51
13,2015,Thanos,1514165.0999999999
14,2015,Thor,3774518.23
15,2015,Ultron,1477399.16
16,2015,Vision,315301.77
17,2015,Wolverine,2055772.4600000002
18,2015,X-Men,7906962.2700000005
19,2015,Avengers,8137515.870000001
20,2015,Venom,366824.64
21,2015,Inhumans,2237056.0
22,2015,Guardians of the Galaxy,2683772.4099999997
23,2015,Logan,1809197.2300000002
24,2015,Fantastic Four,633754.27
