Character_ID,Date,Character_Name,Total
0,2017,Black Panther,1078600.74
1,2017,Cable,927571.2599999999
2,2017,Captain America,2635465.5399999996
3,2017,Daredevil,1242126.9000000001
4,2017,Deadpool,7379735.57
5,2017,Doctor Strange,1645291.0400000005
6,2017,Falcon,219158.73
7,2017,Hulk,1407866.5799999998
8,2017,Iceman,285656.07000000007
9,2017,Iron Man,2287321.92
10,2017,Jean Grey,1580209.13
11,2017,Luke Cage,297845.52
12,2017,Rogue,674443.1
13,2017,Spider-Man,12131673.100000003
14,2017,Storm,245792.43000000002
15,2017,Thanos,713910.75
16,2017,Thor,3540756.87
17,2017,Wasp,156140.67
18,2017,Wolverine,2229310.9500000007
19,2017,X-Men,10906099.49
20,2017,Avengers,3591415.0300000003
21,2017,Venom,5581324.449999998
22,2017,Inhumans,510192.23000000004
23,2017,Guardians of the Galaxy,2285701.78
24,2017,Logan,3578826.5100000002
25,2017,Punisher,1464258.18
