Character_ID,Date,Character_Name,Total
0,2018,Black Panther,2092962.15
1,2018,Black Widow,143377.67
2,2018,Cable,168906.51
3,2018,Captain America,3614292.870000001
4,2018,Daredevil,1479492.23
5,2018,Deadpool,3615309.15
6,2018,Doctor Strange,2451989.79
7,2018,Domino,622487.88
8,2018,Emma Frost,283402.06
9,2018,Gambit,161028.42
10,2018,Hulk,2309928.62
11,2018,Iceman,155426.46000000002
12,2018,Iron Man,2405258.82
13,2018,Jean Grey,829540.5900000001
14,2018,Juggernaut,212574.0
15,2018,Magneto,258372.22
16,2018,Mystique,223112.88
17,2018,Rogue,161028.42
18,2018,Spider-Man,17921117.85
19,2018,Thanos,1639973.05
20,2018,Thor,3411800.9999999995
21,2018,Wasp,127895.46
22,2018,Wolverine,5736970.97
23,2018,X-23,1279277.7699999998
24,2018,X-Men,15203594.640000002
25,2018,Avengers,7320638.83
26,2018,Ghost Rider,1297244.76
27,2018,Venom,8143315.33
28,2018,Inhumans,461896.5900000001
29,2018,Guardians of the Galaxy,227064.96000000002
30,2018,Logan,3174559.86
31,2018,Fantastic Four,4195422.72
32,2018,Punisher,1115111.0100000002
