Character_ID,Date,Character_Name,Total
0,2020,Cable,260193.57
1,2020,Captain America,462522.24
2,2020,Daredevil,460705.35000000003
3,2020,Deadpool,500530.9
4,2020,Doctor Strange,301514.11000000004
5,2020,Emma Frost,322853.0
6,2020,Falcon,167731.62
7,2020,Hellion,278302.28
8,2020,Hulk,1368502.69
9,2020,Iron Man,551005.78
10,2020,Jean Grey,322853.0
11,2020,Marauders,817315.5900000001
12,2020,Nightcrawler,233836.39
13,2020,Spider-Man,2358241.6200000006
14,2020,Thor,1543518.58
15,2020,Wolverine,1865733.31
16,2020,X-Men,3281841.0000000005
17,2020,Avengers,1359721.8599999999
18,2020,Ghost Rider,632995.66
19,2020,Venom,936476.49
20,2020,Guardians of the Galaxy,671578.04
21,2020,Fantastic Four,1065964.2000000002
22,2020,Punisher,308750.19000000006
