Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
4,8,Guardians of Galaxy,1,$3.99,Marvel,"221,200"
5,6,Superior Spider-Man,1,$3.99,Marvel,"216,700"
6,4,Infinity,1,$4.99,Marvel,"210,800"
7,7,X-Men,1,$3.99,Marvel,"186,300"
8,9,Age of Ultron,1,$3.99,Marvel,"184,000"
9,11,Uncanny X-Men,1,$3.99,Marvel,"182,700"
19,23,Origin II,1,$4.99,Marvel,"131,700"
22,32,Infinity,2,$3.99,Marvel,"128,400"
24,21,Avengers,24.NOW,$4.99,Marvel,"127,500"
25,33,Infinity,3,$3.99,Marvel,"127,000"
28,34,Thanos Rising,1,$3.99,Marvel,"122,400"
29,46,New Avengers,1,$3.99,Marvel,"121,900"
30,45,Wolverine,1,$3.99,Marvel,"121,800"
31,44,Superior Spider-Man,2,$3.99,Marvel,"121,600"
35,40,Age of Ultron,2,$3.99,Marvel,"116,800"
36,41,Age of Ultron,10,$3.99,Marvel,"116,800"
39,55,X-Men Battle of Atom,1,$3.99,Marvel,"114,800"
40,43,Infinity,4,$3.99,Marvel,"114,000"
41,42,Amazing X-Men,1,$3.99,Marvel,"113,200"
42,37,Guardians of Galaxy,5,$3.99,Marvel,"113,200"
46,49,Age of Ultron,3,$3.99,Marvel,"109,900"
48,56,Superior Spider-Man,3,$3.99,Marvel,"109,400"
49,57,Savage Wolverine,1,$3.99,Marvel,"108,200"
50,53,Infinity,5,$3.99,Marvel,"108,000"
56,59,Age of Ultron,4,$3.99,Marvel,"104,200"
59,72,Mighty Avengers,1,$3.99,Marvel,"102,500"
62,62,Age of Ultron,5,$3.99,Marvel,"101,400"
63,17,Infinity,6,$5.99,Marvel,"101,400"
64,64,Superior Spider-Man,4,$3.99,Marvel,"101,300"
66,85,Age of Ultron,6,$3.99,Marvel,"99,400"
70,80,Uncanny X-Men,2,$3.99,Marvel,"97,500"
71,79,Uncanny Avengers,3,$3.99,Marvel,"97,500"
72,69,Age of Ultron,7,$3.99,Marvel,"97,400"
73,71,Superior Spider-Man,5,$3.99,Marvel,"97,100"
74,74,Age of Ultron,8,$3.99,Marvel,"96,700"
79,78,Age of Ultron,9,$3.99,Marvel,"95,800"
81,83,Avengers,3,$3.99,Marvel,"95,600"
84,82,Superior Spider-Man,9,$3.99,Marvel,"94,400"
86,84,All New X-Men,8,$3.99,Marvel,"93,500"
87,101,Guardians of Galaxy,2,$3.99,Marvel,"93,500"
88,88,Avengers,19,$3.99,Marvel,"92,900"
93,167,Guardians of Galaxy,0.1,$3.99,Marvel,"90,600"
95,91,Superior Spider-Man,6,$3.99,Marvel,"90,600"
96,95,All New X-Men,7,$3.99,Marvel,"90,300"
97,90,Uncanny X-Force,1,$3.99,Marvel,"90,200"
98,96,Uncanny Avengers,4,$3.99,Marvel,"89,800"
99,97,Superior Spider-Man,6AU,$3.99,Marvel,"89,300"
100,94,Superior Spider-Man,17,$3.99,Marvel,"89,200"
101,102,Uncanny X-Men,3,$3.99,Marvel,"88,600"
102,98,Superior Spider-Man,7,$3.99,Marvel,"87,900"
104,142,Secret Avengers,1,$3.99,Marvel,"87,500"
105,103,All New X-Men,16,$3.99,Marvel,"87,400"
106,150,Nova,1,$3.99,Marvel,"87,200"
107,104,Superior Spider-Man,8,$3.99,Marvel,"87,100"
